Date,Sales
16-Nov-16,324
17-Nov-16,318
18-Nov-16,339
19-Nov-16,340
20-Nov-16,467
21-Nov-16,458
22-Nov-16,309
23-Nov-16,336
24-Nov-16,322
25-Nov-16,336
26-Nov-16,354
27-Nov-16,470
28-Nov-16,456
29-Nov-16,317
30-Nov-16,341
1-Dec-16,330
2-Dec-16,340
3-Dec-16,357
4-Dec-16,477
5-Dec-16,465
6-Dec-16,308
7-Dec-16,346
8-Dec-16,330
9-Dec-16,349
10-Dec-16,357
11-Dec-16,480
12-Dec-16,463
13-Dec-16,320
14-Dec-16,344
15-Dec-16,344
16-Dec-16,353
17-Dec-16,366
18-Dec-16,503
19-Dec-16,482
20-Dec-16,323
21-Dec-16,357
22-Dec-16,336
23-Dec-16,359
24-Dec-16,361
25-Dec-16,491
26-Dec-16,480
27-Dec-16,318
28-Dec-16,354
29-Dec-16,341
30-Dec-16,360
31-Dec-16,364
1-Jan-17,495
2-Jan-17,482
3-Jan-17,330
4-Jan-17,364
5-Jan-17,345
6-Jan-17,357
7-Jan-17,358
8-Jan-17,496
9-Jan-17,472
10-Jan-17,329
11-Jan-17,350
12-Jan-17,351
13-Jan-17,367
14-Jan-17,369
15-Jan-17,508
16-Jan-17,483
17-Jan-17,332
18-Jan-17,355
19-Jan-17,353
20-Jan-17,364
21-Jan-17,376
22-Jan-17,492
23-Jan-17,483
24-Jan-17,333
25-Jan-17,354
26-Jan-17,350
27-Jan-17,358
28-Jan-17,379
29-Jan-17,503
30-Jan-17,492
31-Jan-17,329
1-Feb-17,364
2-Feb-17,354
3-Feb-17,366
4-Feb-17,363
5-Feb-17,502
6-Feb-17,489
7-Feb-17,328
8-Feb-17,349
9-Feb-17,341
10-Feb-17,354
11-Feb-17,355
12-Feb-17,494
13-Feb-17,465
14-Feb-17,330
15-Feb-17,359
16-Feb-17,340
17-Feb-17,361
18-Feb-17,364
19-Feb-17,510
20-Feb-17,473
21-Feb-17,324
22-Feb-17,354
23-Feb-17,341
24-Feb-17,355
25-Feb-17,377
26-Feb-17,504
27-Feb-17,483
28-Feb-17,328
1-Mar-17,365
2-Mar-17,349
3-Mar-17,363
4-Mar-17,369
5-Mar-17,495
6-Mar-17,478
7-Mar-17,332
8-Mar-17,357
9-Mar-17,360
10-Mar-17,374
11-Mar-17,370
12-Mar-17,520
13-Mar-17,486
14-Mar-17,325
15-Mar-17,356
16-Mar-17,346
17-Mar-17,373
18-Mar-17,379
19-Mar-17,499
20-Mar-17,496
21-Mar-17,334
22-Mar-17,364
23-Mar-17,359
24-Mar-17,365
25-Mar-17,378
26-Mar-17,502
27-Mar-17,500
28-Mar-17,341
29-Mar-17,380
30-Mar-17,369
31-Mar-17,388
1-Apr-17,384
2-Apr-17,520
3-Apr-17,502
4-Apr-17,348
5-Apr-17,375
6-Apr-17,361
7-Apr-17,381
8-Apr-17,386
9-Apr-17,513
10-Apr-17,498
11-Apr-17,352
12-Apr-17,372
13-Apr-17,367
14-Apr-17,371
