Date,Quantity,DOE
8-Aug-16,900,10-Aug-16
10-Aug-16,850,12-Aug-16
12-Aug-16,950,14-Aug-16
14-Aug-16,950,16-Aug-16
16-Aug-16,900,18-Aug-16
18-Aug-16,900,20-Aug-16
20-Aug-16,950,22-Aug-16
22-Aug-16,950,24-Aug-16
24-Aug-16,900,26-Aug-16
26-Aug-16,1000,28-Aug-16
28-Aug-16,950,30-Aug-16
30-Aug-16,900,1-Sep-16
1-Sep-16,900,3-Sep-16
3-Sep-16,1000,5-Sep-16
5-Sep-16,950,7-Sep-16
7-Sep-16,900,9-Sep-16
9-Sep-16,1000,11-Sep-16
11-Sep-16,1000,13-Sep-16
13-Sep-16,950,15-Sep-16
15-Sep-16,950,17-Sep-16
17-Sep-16,1000,19-Sep-16
19-Sep-16,1000,21-Sep-16
21-Sep-16,900,23-Sep-16
23-Sep-16,1000,25-Sep-16
25-Sep-16,1000,27-Sep-16
27-Sep-16,950,29-Sep-16
29-Sep-16,900,1-Oct-16
1-Oct-16,950,3-Oct-16
3-Oct-16,950,5-Oct-16
5-Oct-16,900,7-Oct-16
7-Oct-16,1000,9-Oct-16
9-Oct-16,1000,11-Oct-16
11-Oct-16,950,13-Oct-16
13-Oct-16,950,15-Oct-16
15-Oct-16,1000,17-Oct-16
17-Oct-16,1000,19-Oct-16
19-Oct-16,900,21-Oct-16
21-Oct-16,1000,23-Oct-16
23-Oct-16,950,25-Oct-16
25-Oct-16,950,27-Oct-16
27-Oct-16,900,29-Oct-16
29-Oct-16,1000,31-Oct-16
31-Oct-16,950,2-Nov-16
2-Nov-16,900,4-Nov-16
4-Nov-16,1000,6-Nov-16
6-Nov-16,1000,8-Nov-16
8-Nov-16,900,10-Nov-16
10-Nov-16,900,12-Nov-16
12-Nov-16,1000,14-Nov-16
14-Nov-16,1000,16-Nov-16
16-Nov-16,950,18-Nov-16
18-Nov-16,1000,20-Nov-16
20-Nov-16,1000,22-Nov-16
22-Nov-16,950,24-Nov-16
24-Nov-16,900,26-Nov-16
26-Nov-16,1000,28-Nov-16
28-Nov-16,950,30-Nov-16
30-Nov-16,900,2-Dec-16
2-Dec-16,1000,4-Dec-16
4-Dec-16,1000,6-Dec-16
6-Dec-16,950,8-Dec-16
8-Dec-16,950,10-Dec-16
10-Dec-16,1000,12-Dec-16
12-Dec-16,1000,14-Dec-16
14-Dec-16,950,16-Dec-16
16-Dec-16,1050,18-Dec-16
18-Dec-16,1050,20-Dec-16
20-Dec-16,1000,22-Dec-16
22-Dec-16,1000,24-Dec-16
24-Dec-16,1050,26-Dec-16
26-Dec-16,1050,28-Dec-16
28-Dec-16,950,30-Dec-16
30-Dec-16,1050,1-Jan-17
1-Jan-17,1050,3-Jan-17
3-Jan-17,1000,5-Jan-17
5-Jan-17,1000,7-Jan-17
7-Jan-17,1050,9-Jan-17
9-Jan-17,1050,11-Jan-17
11-Jan-17,950,13-Jan-17
13-Jan-17,1050,15-Jan-17
15-Jan-17,1050,17-Jan-17
17-Jan-17,1000,19-Jan-17
19-Jan-17,1000,21-Jan-17
21-Jan-17,1050,23-Jan-17
23-Jan-17,1050,25-Jan-17
25-Jan-17,950,27-Jan-17
27-Jan-17,1050,29-Jan-17
29-Jan-17,1050,31-Jan-17
31-Jan-17,950,2-Feb-17
2-Feb-17,950,4-Feb-17
4-Feb-17,1050,6-Feb-17
6-Feb-17,1000,8-Feb-17
8-Feb-17,950,10-Feb-17
10-Feb-17,1050,12-Feb-17
12-Feb-17,1050,14-Feb-17
14-Feb-17,1000,16-Feb-17
16-Feb-17,1000,18-Feb-17
18-Feb-17,1050,20-Feb-17
20-Feb-17,1050,22-Feb-17
22-Feb-17,1000,24-Feb-17
24-Feb-17,1100,26-Feb-17
26-Feb-17,1100,28-Feb-17
28-Feb-17,1050,2-Mar-17
2-Mar-17,1050,4-Mar-17
4-Mar-17,1150,6-Mar-17
6-Mar-17,1100,8-Mar-17
8-Mar-17,1050,10-Mar-17
10-Mar-17,1150,12-Mar-17
12-Mar-17,1150,14-Mar-17
14-Mar-17,1100,16-Mar-17
16-Mar-17,1100,18-Mar-17
18-Mar-17,1150,20-Mar-17
20-Mar-17,1150,22-Mar-17
22-Mar-17,1050,24-Mar-17
24-Mar-17,1150,26-Mar-17
26-Mar-17,1150,28-Mar-17
28-Mar-17,1100,30-Mar-17
30-Mar-17,1100,1-Apr-17
1-Apr-17,1150,3-Apr-17
3-Apr-17,1150,5-Apr-17
5-Apr-17,1050,7-Apr-17
7-Apr-17,1150,9-Apr-17
9-Apr-17,1150,11-Apr-17
11-Apr-17,1100,13-Apr-17
13-Apr-17,1050,15-Apr-17
15-Apr-17,1100,17-Apr-17
17-Apr-17,1050,19-Apr-17
19-Apr-17,1050,21-Apr-17
21-Apr-17,1050,23-Apr-17
23-Apr-17,1050,25-Apr-17
25-Apr-17,1050,27-Apr-17
27-Apr-17,1050,29-Apr-17
29-Apr-17,1050,1-May-17
1-May-17,1050,3-May-17
