Date,Sales
8-Aug-16,635
9-Aug-16,589
10-Aug-16,580
11-Aug-16,559
12-Aug-16,602
13-Aug-16,647
14-Aug-16,591
15-Aug-16,634
16-Aug-16,583
17-Aug-16,563
18-Aug-16,556
19-Aug-16,602
20-Aug-16,644
21-Aug-16,612
22-Aug-16,631
23-Aug-16,597
24-Aug-16,565
25-Aug-16,563
26-Aug-16,591
27-Aug-16,641
28-Aug-16,600
29-Aug-16,628
30-Aug-16,573
31-Aug-16,583
1-Sep-16,557
2-Sep-16,614
3-Sep-16,674
4-Sep-16,619
5-Sep-16,653
6-Sep-16,609
7-Sep-16,597
8-Sep-16,588
9-Sep-16,623
10-Sep-16,688
11-Sep-16,627
12-Sep-16,677
13-Sep-16,609
14-Sep-16,603
15-Sep-16,579
16-Sep-16,614
17-Sep-16,669
18-Sep-16,618
19-Sep-16,647
20-Sep-16,591
21-Sep-16,586
22-Sep-16,569
23-Sep-16,607
24-Sep-16,657
25-Sep-16,604
26-Sep-16,643
27-Sep-16,600
28-Sep-16,585
29-Sep-16,577
30-Sep-16,611
1-Oct-16,665
2-Oct-16,618
3-Oct-16,637
4-Oct-16,589
5-Oct-16,577
6-Oct-16,585
7-Oct-16,624
8-Oct-16,672
9-Oct-16,608
10-Oct-16,661
11-Oct-16,602
12-Oct-16,600
13-Oct-16,576
14-Oct-16,617
15-Oct-16,673
16-Oct-16,645
17-Oct-16,667
18-Oct-16,619
19-Oct-16,596
20-Oct-16,579
21-Oct-16,621
22-Oct-16,685
23-Oct-16,617
24-Oct-16,643
25-Oct-16,612
26-Oct-16,599
27-Oct-16,595
28-Oct-16,614
29-Oct-16,685
30-Oct-16,626
31-Oct-16,670
1-Nov-16,619
2-Nov-16,615
3-Nov-16,596
4-Nov-16,638
5-Nov-16,693
6-Nov-16,625
7-Nov-16,666
8-Nov-16,615
9-Nov-16,612
10-Nov-16,593
11-Nov-16,630
12-Nov-16,697
13-Nov-16,658
14-Nov-16,685
15-Nov-16,631
16-Nov-16,616
17-Nov-16,605
18-Nov-16,651
19-Nov-16,702
20-Nov-16,674
21-Nov-16,699
22-Nov-16,638
23-Nov-16,638
24-Nov-16,612
25-Nov-16,648
26-Nov-16,727
27-Nov-16,667
28-Nov-16,686
29-Nov-16,650
30-Nov-16,634
1-Dec-16,607
2-Dec-16,666
3-Dec-16,723
4-Dec-16,666
5-Dec-16,703
6-Dec-16,660
7-Dec-16,616
8-Dec-16,616
9-Dec-16,646
10-Dec-16,714
11-Dec-16,658
12-Dec-16,701
13-Dec-16,647
14-Dec-16,626
15-Dec-16,623
16-Dec-16,665
17-Dec-16,716
18-Dec-16,675
19-Dec-16,700
20-Dec-16,650
21-Dec-16,639
22-Dec-16,635
23-Dec-16,672
24-Dec-16,752
25-Dec-16,700
26-Dec-16,705
27-Dec-16,666
28-Dec-16,643
29-Dec-16,631
30-Dec-16,686
31-Dec-16,759
1-Jan-17,697
2-Jan-17,741
3-Jan-17,690
4-Jan-17,680
5-Jan-17,650
6-Jan-17,687
7-Jan-17,752
8-Jan-17,713
9-Jan-17,752
10-Jan-17,697
11-Jan-17,693
12-Jan-17,684
13-Jan-17,715
14-Jan-17,807
15-Jan-17,751
16-Jan-17,769
17-Jan-17,719
18-Jan-17,706
19-Jan-17,708
20-Jan-17,735
21-Jan-17,815
22-Jan-17,752
23-Jan-17,800
24-Jan-17,739
25-Jan-17,719
26-Jan-17,691
27-Jan-17,723
28-Jan-17,798
29-Jan-17,759
30-Jan-17,793
31-Jan-17,711
1-Feb-17,706
2-Feb-17,700
3-Feb-17,741
4-Feb-17,823
5-Feb-17,759
6-Feb-17,789
7-Feb-17,737
8-Feb-17,719
9-Feb-17,697
10-Feb-17,756
11-Feb-17,826
12-Feb-17,745
13-Feb-17,799
14-Feb-17,759
15-Feb-17,747
16-Feb-17,737
17-Feb-17,774
18-Feb-17,851
19-Feb-17,773
20-Feb-17,825
21-Feb-17,748
22-Feb-17,740
23-Feb-17,740
24-Feb-17,777
25-Feb-17,827
26-Feb-17,783
27-Feb-17,828
28-Feb-17,766
1-Mar-17,742
2-Mar-17,719
3-Mar-17,761
4-Mar-17,821
5-Mar-17,774
6-Mar-17,837
7-Mar-17,782
8-Mar-17,746
9-Mar-17,767
10-Mar-17,806
11-Mar-17,865
12-Mar-17,808
13-Mar-17,853
14-Mar-17,785
15-Mar-17,791
16-Mar-17,767
17-Mar-17,798
18-Mar-17,883
19-Mar-17,832
20-Mar-17,895
21-Mar-17,830
22-Mar-17,785
23-Mar-17,771
24-Mar-17,822
25-Mar-17,894
26-Mar-17,819
27-Mar-17,882
28-Mar-17,793
29-Mar-17,810
30-Mar-17,766
31-Mar-17,821
1-Apr-17,883
2-Apr-17,829
3-Apr-17,883
4-Apr-17,807
5-Apr-17,803
6-Apr-17,781
7-Apr-17,813
8-Apr-17,916
9-Apr-17,856
10-Apr-17,895
11-Apr-17,828
12-Apr-17,812
13-Apr-17,788
14-Apr-17,832
