Date,Quantity,DOE
8-Aug-16,500,10-Aug-16
10-Aug-16,450,12-Aug-16
12-Aug-16,500,14-Aug-16
14-Aug-16,500,16-Aug-16
16-Aug-16,450,18-Aug-16
18-Aug-16,450,20-Aug-16
20-Aug-16,500,22-Aug-16
22-Aug-16,500,24-Aug-16
24-Aug-16,450,26-Aug-16
26-Aug-16,500,28-Aug-16
28-Aug-16,500,30-Aug-16
30-Aug-16,450,1-Sep-16
1-Sep-16,450,3-Sep-16
3-Sep-16,500,5-Sep-16
5-Sep-16,500,7-Sep-16
7-Sep-16,450,9-Sep-16
9-Sep-16,500,11-Sep-16
11-Sep-16,500,13-Sep-16
13-Sep-16,450,15-Sep-16
15-Sep-16,450,17-Sep-16
17-Sep-16,500,19-Sep-16
19-Sep-16,500,21-Sep-16
21-Sep-16,450,23-Sep-16
23-Sep-16,500,25-Sep-16
25-Sep-16,500,27-Sep-16
27-Sep-16,500,29-Sep-16
29-Sep-16,500,1-Oct-16
1-Oct-16,500,3-Oct-16
3-Oct-16,500,5-Oct-16
5-Oct-16,500,7-Oct-16
7-Oct-16,500,9-Oct-16
9-Oct-16,500,11-Oct-16
11-Oct-16,500,13-Oct-16
13-Oct-16,500,15-Oct-16
15-Oct-16,500,17-Oct-16
17-Oct-16,500,19-Oct-16
19-Oct-16,500,21-Oct-16
21-Oct-16,500,23-Oct-16
23-Oct-16,500,25-Oct-16
25-Oct-16,500,27-Oct-16
27-Oct-16,500,29-Oct-16
29-Oct-16,500,31-Oct-16
31-Oct-16,500,2-Nov-16
2-Nov-16,500,4-Nov-16
4-Nov-16,500,6-Nov-16
6-Nov-16,500,8-Nov-16
8-Nov-16,500,10-Nov-16
10-Nov-16,500,12-Nov-16
12-Nov-16,550,14-Nov-16
14-Nov-16,550,16-Nov-16
16-Nov-16,500,18-Nov-16
18-Nov-16,550,20-Nov-16
20-Nov-16,550,22-Nov-16
22-Nov-16,550,24-Nov-16
24-Nov-16,550,26-Nov-16
26-Nov-16,550,28-Nov-16
28-Nov-16,550,30-Nov-16
30-Nov-16,500,2-Dec-16
2-Dec-16,550,4-Dec-16
4-Dec-16,550,6-Dec-16
6-Dec-16,550,8-Dec-16
8-Dec-16,550,10-Dec-16
10-Dec-16,550,12-Dec-16
12-Dec-16,550,14-Dec-16
14-Dec-16,550,16-Dec-16
16-Dec-16,550,18-Dec-16
18-Dec-16,550,20-Dec-16
20-Dec-16,550,22-Dec-16
22-Dec-16,550,24-Dec-16
24-Dec-16,600,26-Dec-16
26-Dec-16,550,28-Dec-16
28-Dec-16,550,30-Dec-16
30-Dec-16,550,1-Jan-17
1-Jan-17,550,3-Jan-17
3-Jan-17,550,5-Jan-17
5-Jan-17,550,7-Jan-17
7-Jan-17,600,9-Jan-17
9-Jan-17,550,11-Jan-17
11-Jan-17,550,13-Jan-17
13-Jan-17,550,15-Jan-17
15-Jan-17,550,17-Jan-17
17-Jan-17,550,19-Jan-17
19-Jan-17,550,21-Jan-17
21-Jan-17,600,23-Jan-17
23-Jan-17,550,25-Jan-17
25-Jan-17,550,27-Jan-17
27-Jan-17,600,29-Jan-17
29-Jan-17,550,31-Jan-17
31-Jan-17,550,2-Feb-17
2-Feb-17,550,4-Feb-17
4-Feb-17,600,6-Feb-17
6-Feb-17,600,8-Feb-17
8-Feb-17,550,10-Feb-17
10-Feb-17,600,12-Feb-17
12-Feb-17,600,14-Feb-17
14-Feb-17,550,16-Feb-17
16-Feb-17,550,18-Feb-17
18-Feb-17,600,20-Feb-17
20-Feb-17,600,22-Feb-17
22-Feb-17,550,24-Feb-17
24-Feb-17,600,26-Feb-17
26-Feb-17,600,28-Feb-17
28-Feb-17,550,2-Mar-17
2-Mar-17,550,4-Mar-17
4-Mar-17,600,6-Mar-17
6-Mar-17,600,8-Mar-17
8-Mar-17,550,10-Mar-17
10-Mar-17,600,12-Mar-17
12-Mar-17,600,14-Mar-17
14-Mar-17,600,16-Mar-17
16-Mar-17,600,18-Mar-17
18-Mar-17,600,20-Mar-17
20-Mar-17,600,22-Mar-17
22-Mar-17,600,24-Mar-17
24-Mar-17,600,26-Mar-17
26-Mar-17,600,28-Mar-17
28-Mar-17,600,30-Mar-17
30-Mar-17,600,1-Apr-17
1-Apr-17,650,3-Apr-17
3-Apr-17,600,5-Apr-17
5-Apr-17,600,7-Apr-17
7-Apr-17,650,9-Apr-17
9-Apr-17,650,11-Apr-17
11-Apr-17,600,13-Apr-17
13-Apr-17,600,15-Apr-17
15-Apr-17,600,17-Apr-17
17-Apr-17,600,19-Apr-17
19-Apr-17,600,21-Apr-17
21-Apr-17,600,23-Apr-17
23-Apr-17,600,25-Apr-17
25-Apr-17,600,27-Apr-17
27-Apr-17,600,29-Apr-17
29-Apr-17,600,1-May-17
1-May-17,600,3-May-17
