Date,Sales
11/14/2015,637
11/15/2015,599
11/16/2015,580
11/17/2015,577
11/18/2015,584
11/19/2015,616
11/20/2015,622
11/21/2015,640
11/22/2015,644
11/23/2015,574
11/24/2015,605
11/25/2015,604
11/26/2015,668
11/27/2015,622
11/28/2015,631
11/29/2015,609
11/30/2015,616
12/1/2015,581
12/2/2015,605
12/3/2015,661
12/4/2015,639
12/5/2015,649
12/6/2015,610
12/7/2015,615
12/8/2015,611
12/9/2015,608
12/10/2015,648
12/11/2015,619
12/12/2015,668
12/13/2015,612
12/14/2015,619
12/15/2015,578
12/16/2015,649
12/17/2015,665
12/18/2015,650
12/19/2015,659
12/20/2015,635
12/21/2015,588
12/22/2015,601
12/23/2015,635
12/24/2015,682
12/25/2015,653
12/26/2015,657
12/27/2015,661
12/28/2015,608
12/29/2015,641
12/30/2015,616
12/31/2015,643
1/1/2016,617
1/2/2016,671
1/3/2016,651
1/4/2016,601
1/5/2016,641
1/6/2016,651
1/7/2016,660
1/8/2016,655
1/9/2016,679
1/10/2016,670
1/11/2016,602
1/12/2016,635
1/13/2016,653
1/14/2016,706
1/15/2016,660
1/16/2016,659
1/17/2016,651
1/18/2016,642
1/19/2016,638
1/20/2016,641
1/21/2016,662
1/22/2016,620
1/23/2016,658
1/24/2016,630
1/25/2016,605
1/26/2016,611
1/27/2016,618
1/28/2016,691
1/29/2016,630
1/30/2016,661
1/31/2016,691
2/1/2016,659
2/2/2016,639
2/3/2016,648
2/4/2016,688
2/5/2016,659
2/6/2016,665
2/7/2016,698
2/8/2016,637
2/9/2016,608
2/10/2016,682
2/11/2016,700
2/12/2016,665
2/13/2016,697
2/14/2016,641
2/15/2016,632
2/16/2016,625
2/17/2016,638
2/18/2016,716
2/19/2016,658
2/20/2016,711
2/21/2016,680
2/22/2016,643
2/23/2016,613
2/24/2016,634
2/25/2016,719
2/26/2016,682
2/27/2016,694
2/28/2016,689
2/29/2016,654
3/1/2016,645
3/2/2016,662
3/3/2016,719
3/4/2016,661
3/5/2016,681
3/6/2016,674
3/7/2016,655
3/8/2016,658
3/9/2016,677
3/10/2016,723
3/11/2016,693
3/12/2016,688
3/13/2016,697
3/14/2016,669
3/15/2016,660
3/16/2016,671
3/17/2016,739
3/18/2016,667
3/19/2016,709
3/20/2016,691
3/21/2016,659
3/22/2016,670
3/23/2016,659
3/24/2016,699
3/25/2016,673
3/26/2016,715
3/27/2016,727
3/28/2016,661
3/29/2016,645
3/30/2016,713
3/31/2016,710
4/1/2016,697
4/2/2016,745
4/3/2016,707
4/4/2016,684
4/5/2016,636
4/6/2016,696
4/7/2016,757
4/8/2016,698
4/9/2016,752
4/10/2016,677
4/11/2016,682
4/12/2016,633
4/13/2016,665
4/14/2016,709
4/15/2016,670
4/16/2016,739
4/17/2016,716
4/18/2016,682
4/19/2016,691
4/20/2016,658
4/21/2016,720
4/22/2016,715
4/23/2016,700
4/24/2016,738
4/25/2016,687
4/26/2016,638
4/27/2016,718
4/28/2016,746
4/29/2016,669
4/30/2016,695
5/1/2016,707
5/2/2016,684
5/3/2016,642
5/4/2016,718
5/5/2016,731
5/6/2016,711
5/7/2016,729
5/8/2016,732
5/9/2016,692
5/10/2016,639
5/11/2016,695
5/12/2016,756
5/13/2016,677
5/14/2016,699
5/15/2016,731
5/16/2016,659
5/17/2016,681
5/18/2016,679
5/19/2016,748
5/20/2016,685
5/21/2016,761
5/22/2016,723
5/23/2016,698
5/24/2016,688
5/25/2016,724
5/26/2016,773
5/27/2016,689
5/28/2016,762
5/29/2016,746
5/30/2016,711
