Date,Quantity,DOE
8-Aug-16,1200,10-Aug-16
10-Aug-16,1100,12-Aug-16
12-Aug-16,1200,14-Aug-16
14-Aug-16,1200,16-Aug-16
16-Aug-16,1100,18-Aug-16
18-Aug-16,1150,20-Aug-16
20-Aug-16,1200,22-Aug-16
22-Aug-16,1200,24-Aug-16
24-Aug-16,1100,26-Aug-16
26-Aug-16,1200,28-Aug-16
28-Aug-16,1200,30-Aug-16
30-Aug-16,1150,1-Sep-16
1-Sep-16,1150,3-Sep-16
3-Sep-16,1200,5-Sep-16
5-Sep-16,1200,7-Sep-16
7-Sep-16,1150,9-Sep-16
9-Sep-16,1250,11-Sep-16
11-Sep-16,1250,13-Sep-16
13-Sep-16,1200,15-Sep-16
15-Sep-16,1150,17-Sep-16
17-Sep-16,1250,19-Sep-16
19-Sep-16,1250,21-Sep-16
21-Sep-16,1200,23-Sep-16
23-Sep-16,1300,25-Sep-16
25-Sep-16,1300,27-Sep-16
27-Sep-16,1200,29-Sep-16
29-Sep-16,1200,1-Oct-16
1-Oct-16,1300,3-Oct-16
3-Oct-16,1250,5-Oct-16
5-Oct-16,1200,7-Oct-16
7-Oct-16,1300,9-Oct-16
9-Oct-16,1250,11-Oct-16
11-Oct-16,1150,13-Oct-16
13-Oct-16,1150,15-Oct-16
15-Oct-16,1250,17-Oct-16
17-Oct-16,1200,19-Oct-16
19-Oct-16,1150,21-Oct-16
21-Oct-16,1250,23-Oct-16
23-Oct-16,1250,25-Oct-16
25-Oct-16,1200,27-Oct-16
27-Oct-16,1200,29-Oct-16
29-Oct-16,1300,31-Oct-16
31-Oct-16,1300,2-Nov-16
2-Nov-16,1200,4-Nov-16
4-Nov-16,1350,6-Nov-16
6-Nov-16,1350,8-Nov-16
8-Nov-16,1250,10-Nov-16
10-Nov-16,1250,12-Nov-16
12-Nov-16,1350,14-Nov-16
14-Nov-16,1350,16-Nov-16
16-Nov-16,1250,18-Nov-16
18-Nov-16,1300,20-Nov-16
20-Nov-16,1300,22-Nov-16
22-Nov-16,1250,24-Nov-16
24-Nov-16,1250,26-Nov-16
26-Nov-16,1350,28-Nov-16
28-Nov-16,1300,30-Nov-16
30-Nov-16,1200,2-Dec-16
2-Dec-16,1300,4-Dec-16
4-Dec-16,1300,6-Dec-16
6-Dec-16,1200,8-Dec-16
8-Dec-16,1200,10-Dec-16
10-Dec-16,1300,12-Dec-16
12-Dec-16,1250,14-Dec-16
14-Dec-16,1150,16-Dec-16
16-Dec-16,1300,18-Dec-16
18-Dec-16,1300,20-Dec-16
20-Dec-16,1200,22-Dec-16
22-Dec-16,1200,24-Dec-16
24-Dec-16,1300,26-Dec-16
26-Dec-16,1300,28-Dec-16
28-Dec-16,1200,30-Dec-16
30-Dec-16,1300,1-Jan-17
1-Jan-17,1300,3-Jan-17
3-Jan-17,1250,5-Jan-17
5-Jan-17,1250,7-Jan-17
7-Jan-17,1350,9-Jan-17
9-Jan-17,1350,11-Jan-17
11-Jan-17,1250,13-Jan-17
13-Jan-17,1350,15-Jan-17
15-Jan-17,1350,17-Jan-17
17-Jan-17,1250,19-Jan-17
19-Jan-17,1250,21-Jan-17
21-Jan-17,1350,23-Jan-17
23-Jan-17,1300,25-Jan-17
25-Jan-17,1200,27-Jan-17
27-Jan-17,1300,29-Jan-17
29-Jan-17,1300,31-Jan-17
31-Jan-17,1250,2-Feb-17
2-Feb-17,1250,4-Feb-17
4-Feb-17,1300,6-Feb-17
6-Feb-17,1300,8-Feb-17
8-Feb-17,1200,10-Feb-17
10-Feb-17,1300,12-Feb-17
12-Feb-17,1300,14-Feb-17
14-Feb-17,1250,16-Feb-17
16-Feb-17,1200,18-Feb-17
18-Feb-17,1300,20-Feb-17
20-Feb-17,1300,22-Feb-17
22-Feb-17,1200,24-Feb-17
24-Feb-17,1300,26-Feb-17
26-Feb-17,1300,28-Feb-17
28-Feb-17,1200,2-Mar-17
2-Mar-17,1200,4-Mar-17
4-Mar-17,1300,6-Mar-17
6-Mar-17,1300,8-Mar-17
8-Mar-17,1200,10-Mar-17
10-Mar-17,1300,12-Mar-17
12-Mar-17,1300,14-Mar-17
14-Mar-17,1250,16-Mar-17
16-Mar-17,1250,18-Mar-17
18-Mar-17,1350,20-Mar-17
20-Mar-17,1350,22-Mar-17
22-Mar-17,1250,24-Mar-17
24-Mar-17,1400,26-Mar-17
26-Mar-17,1350,28-Mar-17
28-Mar-17,1300,30-Mar-17
30-Mar-17,1250,1-Apr-17
1-Apr-17,1350,3-Apr-17
3-Apr-17,1350,5-Apr-17
5-Apr-17,1250,7-Apr-17
7-Apr-17,1350,9-Apr-17
9-Apr-17,1350,11-Apr-17
11-Apr-17,1250,13-Apr-17
13-Apr-17,1250,15-Apr-17
