Date,Sales
16-Nov-16,97
17-Nov-16,101
18-Nov-16,105
19-Nov-16,102
20-Nov-16,138
21-Nov-16,132
22-Nov-16,103
23-Nov-16,99
24-Nov-16,101
25-Nov-16,103
26-Nov-16,103
27-Nov-16,135
28-Nov-16,136
29-Nov-16,105
30-Nov-16,104
1-Dec-16,107
2-Dec-16,114
3-Dec-16,108
4-Dec-16,139
5-Dec-16,131
6-Dec-16,101
7-Dec-16,98
8-Dec-16,107
9-Dec-16,107
10-Dec-16,98
11-Dec-16,132
12-Dec-16,127
13-Dec-16,97
14-Dec-16,94
15-Dec-16,104
16-Dec-16,104
17-Dec-16,102
18-Dec-16,130
19-Dec-16,131
20-Dec-16,99
21-Dec-16,91
22-Dec-16,98
23-Dec-16,100
24-Dec-16,93
25-Dec-16,127
26-Dec-16,121
27-Dec-16,98
28-Dec-16,96
29-Dec-16,104
30-Dec-16,106
31-Dec-16,97
1-Jan-17,135
2-Jan-17,131
3-Jan-17,97
4-Jan-17,88
5-Jan-17,96
6-Jan-17,99
7-Jan-17,94
8-Jan-17,128
9-Jan-17,124
10-Jan-17,94
11-Jan-17,91
12-Jan-17,96
13-Jan-17,98
14-Jan-17,99
15-Jan-17,132
16-Jan-17,134
17-Jan-17,105
18-Jan-17,104
19-Jan-17,105
20-Jan-17,112
21-Jan-17,108
22-Jan-17,140
23-Jan-17,132
24-Jan-17,101
25-Jan-17,105
26-Jan-17,108
27-Jan-17,110
28-Jan-17,102
29-Jan-17,134
30-Jan-17,135
31-Jan-17,105
1-Feb-17,99
2-Feb-17,106
3-Feb-17,106
4-Feb-17,109
5-Feb-17,140
6-Feb-17,142
7-Feb-17,111
8-Feb-17,108
9-Feb-17,111
10-Feb-17,115
11-Feb-17,110
12-Feb-17,143
13-Feb-17,141
14-Feb-17,105
15-Feb-17,104
16-Feb-17,106
17-Feb-17,110
18-Feb-17,108
19-Feb-17,140
20-Feb-17,143
21-Feb-17,109
22-Feb-17,104
23-Feb-17,108
24-Feb-17,113
25-Feb-17,103
26-Feb-17,143
27-Feb-17,139
28-Feb-17,109
1-Mar-17,99
2-Mar-17,108
3-Mar-17,110
4-Mar-17,105
5-Mar-17,136
6-Mar-17,138
7-Mar-17,104
8-Mar-17,101
9-Mar-17,108
10-Mar-17,107
11-Mar-17,108
12-Mar-17,140
13-Mar-17,138
14-Mar-17,101
15-Mar-17,98
16-Mar-17,104
17-Mar-17,108
18-Mar-17,102
19-Mar-17,131
20-Mar-17,139
21-Mar-17,101
22-Mar-17,101
23-Mar-17,105
24-Mar-17,110
25-Mar-17,104
26-Mar-17,137
27-Mar-17,133
28-Mar-17,102
29-Mar-17,98
30-Mar-17,102
31-Mar-17,103
1-Apr-17,98
2-Apr-17,130
3-Apr-17,127
4-Apr-17,98
5-Apr-17,97
6-Apr-17,104
7-Apr-17,107
8-Apr-17,99
9-Apr-17,128
10-Apr-17,125
11-Apr-17,102
12-Apr-17,93
13-Apr-17,103
14-Apr-17,107
