Date,Sales
8-Aug-16,43
9-Aug-16,40
10-Aug-16,38
11-Aug-16,38
12-Aug-16,41
13-Aug-16,44
14-Aug-16,42
15-Aug-16,43
16-Aug-16,41
17-Aug-16,40
18-Aug-16,38
19-Aug-16,41
20-Aug-16,44
21-Aug-16,42
22-Aug-16,44
23-Aug-16,41
24-Aug-16,40
25-Aug-16,39
26-Aug-16,42
27-Aug-16,45
28-Aug-16,42
29-Aug-16,44
30-Aug-16,41
31-Aug-16,40
1-Sep-16,39
2-Sep-16,42
3-Sep-16,46
4-Sep-16,42
5-Sep-16,43
6-Sep-16,41
7-Sep-16,39
8-Sep-16,38
9-Sep-16,41
10-Sep-16,44
11-Sep-16,42
12-Sep-16,44
13-Sep-16,40
14-Sep-16,39
15-Sep-16,38
16-Sep-16,40
17-Sep-16,44
18-Sep-16,41
19-Sep-16,42
20-Sep-16,40
21-Sep-16,39
22-Sep-16,38
23-Sep-16,41
24-Sep-16,44
25-Sep-16,41
26-Sep-16,44
27-Sep-16,41
28-Sep-16,40
29-Sep-16,39
30-Sep-16,41
1-Oct-16,46
2-Oct-16,43
3-Oct-16,45
4-Oct-16,42
5-Oct-16,42
6-Oct-16,41
7-Oct-16,43
8-Oct-16,47
9-Oct-16,43
10-Oct-16,45
11-Oct-16,43
12-Oct-16,41
13-Oct-16,40
14-Oct-16,43
15-Oct-16,46
16-Oct-16,43
17-Oct-16,45
18-Oct-16,42
19-Oct-16,41
20-Oct-16,41
21-Oct-16,43
22-Oct-16,46
23-Oct-16,44
24-Oct-16,46
25-Oct-16,43
26-Oct-16,41
27-Oct-16,40
28-Oct-16,42
29-Oct-16,46
30-Oct-16,43
31-Oct-16,46
1-Nov-16,42
2-Nov-16,40
3-Nov-16,40
4-Nov-16,43
5-Nov-16,45
6-Nov-16,42
7-Nov-16,44
8-Nov-16,42
9-Nov-16,41
10-Nov-16,41
11-Nov-16,43
12-Nov-16,47
13-Nov-16,44
14-Nov-16,47
15-Nov-16,44
16-Nov-16,42
17-Nov-16,41
18-Nov-16,44
19-Nov-16,48
20-Nov-16,45
21-Nov-16,47
22-Nov-16,44
23-Nov-16,43
24-Nov-16,42
25-Nov-16,45
26-Nov-16,48
27-Nov-16,45
28-Nov-16,48
29-Nov-16,45
30-Nov-16,44
1-Dec-16,42
2-Dec-16,45
3-Dec-16,49
4-Dec-16,46
5-Dec-16,48
6-Dec-16,46
7-Dec-16,44
8-Dec-16,43
9-Dec-16,46
10-Dec-16,50
11-Dec-16,47
12-Dec-16,49
13-Dec-16,46
14-Dec-16,45
15-Dec-16,44
16-Dec-16,46
17-Dec-16,50
18-Dec-16,47
19-Dec-16,50
20-Dec-16,47
21-Dec-16,46
22-Dec-16,44
23-Dec-16,47
24-Dec-16,51
25-Dec-16,48
26-Dec-16,50
27-Dec-16,46
28-Dec-16,44
29-Dec-16,44
30-Dec-16,47
31-Dec-16,51
1-Jan-17,48
2-Jan-17,50
3-Jan-17,47
4-Jan-17,46
5-Jan-17,44
6-Jan-17,47
7-Jan-17,52
8-Jan-17,49
9-Jan-17,51
10-Jan-17,47
11-Jan-17,46
12-Jan-17,45
13-Jan-17,47
14-Jan-17,52
15-Jan-17,49
16-Jan-17,52
17-Jan-17,48
18-Jan-17,47
19-Jan-17,45
20-Jan-17,48
21-Jan-17,52
22-Jan-17,48
23-Jan-17,50
24-Jan-17,46
25-Jan-17,44
26-Jan-17,44
27-Jan-17,46
28-Jan-17,50
29-Jan-17,46
30-Jan-17,50
31-Jan-17,46
1-Feb-17,45
2-Feb-17,44
3-Feb-17,47
4-Feb-17,51
5-Feb-17,48
6-Feb-17,51
7-Feb-17,47
8-Feb-17,47
9-Feb-17,46
10-Feb-17,49
11-Feb-17,54
12-Feb-17,50
13-Feb-17,53
14-Feb-17,50
15-Feb-17,48
16-Feb-17,47
17-Feb-17,50
18-Feb-17,54
19-Feb-17,51
20-Feb-17,53
21-Feb-17,50
22-Feb-17,47
23-Feb-17,47
24-Feb-17,51
25-Feb-17,55
26-Feb-17,51
27-Feb-17,53
28-Feb-17,50
1-Mar-17,48
2-Mar-17,47
3-Mar-17,49
4-Mar-17,54
5-Mar-17,50
6-Mar-17,52
7-Mar-17,49
8-Mar-17,47
9-Mar-17,45
10-Mar-17,49
11-Mar-17,53
12-Mar-17,50
13-Mar-17,52
14-Mar-17,49
15-Mar-17,48
16-Mar-17,46
17-Mar-17,49
18-Mar-17,53
19-Mar-17,49
20-Mar-17,52
21-Mar-17,49
22-Mar-17,48
23-Mar-17,47
24-Mar-17,50
25-Mar-17,54
26-Mar-17,52
27-Mar-17,54
28-Mar-17,50
29-Mar-17,50
30-Mar-17,49
31-Mar-17,51
1-Apr-17,56
2-Apr-17,52
3-Apr-17,55
4-Apr-17,51
5-Apr-17,49
6-Apr-17,48
7-Apr-17,51
8-Apr-17,54
9-Apr-17,51
10-Apr-17,53
11-Apr-17,50
12-Apr-17,49
13-Apr-17,47
14-Apr-17,50
