Date,Quantity,DOE
8-Aug-16,150,10-Aug-16
10-Aug-16,150,12-Aug-16
12-Aug-16,150,14-Aug-16
14-Aug-16,150,16-Aug-16
16-Aug-16,150,18-Aug-16
18-Aug-16,150,20-Aug-16
20-Aug-16,150,22-Aug-16
22-Aug-16,150,24-Aug-16
24-Aug-16,150,26-Aug-16
26-Aug-16,150,28-Aug-16
28-Aug-16,150,30-Aug-16
30-Aug-16,150,1-Sep-16
1-Sep-16,150,3-Sep-16
3-Sep-16,150,5-Sep-16
5-Sep-16,150,7-Sep-16
7-Sep-16,150,9-Sep-16
9-Sep-16,150,11-Sep-16
11-Sep-16,150,13-Sep-16
13-Sep-16,150,15-Sep-16
15-Sep-16,150,17-Sep-16
17-Sep-16,150,19-Sep-16
19-Sep-16,150,21-Sep-16
21-Sep-16,150,23-Sep-16
23-Sep-16,150,25-Sep-16
25-Sep-16,150,27-Sep-16
27-Sep-16,150,29-Sep-16
29-Sep-16,150,1-Oct-16
1-Oct-16,150,3-Oct-16
3-Oct-16,150,5-Oct-16
5-Oct-16,150,7-Oct-16
7-Oct-16,150,9-Oct-16
9-Oct-16,200,11-Oct-16
11-Oct-16,150,13-Oct-16
13-Oct-16,150,15-Oct-16
15-Oct-16,200,17-Oct-16
17-Oct-16,200,19-Oct-16
19-Oct-16,150,21-Oct-16
21-Oct-16,200,23-Oct-16
23-Oct-16,200,25-Oct-16
25-Oct-16,200,27-Oct-16
27-Oct-16,200,29-Oct-16
29-Oct-16,200,31-Oct-16
31-Oct-16,200,2-Nov-16
2-Nov-16,150,4-Nov-16
4-Nov-16,200,6-Nov-16
6-Nov-16,200,8-Nov-16
8-Nov-16,200,10-Nov-16
10-Nov-16,200,12-Nov-16
12-Nov-16,200,14-Nov-16
14-Nov-16,200,16-Nov-16
16-Nov-16,150,18-Nov-16
18-Nov-16,200,20-Nov-16
20-Nov-16,200,22-Nov-16
22-Nov-16,200,24-Nov-16
24-Nov-16,200,26-Nov-16
26-Nov-16,200,28-Nov-16
28-Nov-16,200,30-Nov-16
30-Nov-16,200,2-Dec-16
2-Dec-16,200,4-Dec-16
4-Dec-16,200,6-Dec-16
6-Dec-16,200,8-Dec-16
8-Dec-16,200,10-Dec-16
10-Dec-16,200,12-Dec-16
12-Dec-16,200,14-Dec-16
14-Dec-16,200,16-Dec-16
16-Dec-16,200,18-Dec-16
18-Dec-16,200,20-Dec-16
20-Dec-16,200,22-Dec-16
22-Dec-16,200,24-Dec-16
24-Dec-16,200,26-Dec-16
26-Dec-16,200,28-Dec-16
28-Dec-16,150,30-Dec-16
30-Dec-16,200,1-Jan-17
1-Jan-17,200,3-Jan-17
3-Jan-17,200,5-Jan-17
5-Jan-17,200,7-Jan-17
7-Jan-17,200,9-Jan-17
9-Jan-17,200,11-Jan-17
11-Jan-17,200,13-Jan-17
13-Jan-17,200,15-Jan-17
15-Jan-17,200,17-Jan-17
17-Jan-17,200,19-Jan-17
19-Jan-17,200,21-Jan-17
21-Jan-17,200,23-Jan-17
23-Jan-17,200,25-Jan-17
25-Jan-17,200,27-Jan-17
27-Jan-17,200,29-Jan-17
29-Jan-17,200,31-Jan-17
31-Jan-17,200,2-Feb-17
2-Feb-17,200,4-Feb-17
4-Feb-17,200,6-Feb-17
6-Feb-17,200,8-Feb-17
8-Feb-17,200,10-Feb-17
10-Feb-17,200,12-Feb-17
12-Feb-17,200,14-Feb-17
14-Feb-17,200,16-Feb-17
16-Feb-17,200,18-Feb-17
18-Feb-17,200,20-Feb-17
20-Feb-17,200,22-Feb-17
22-Feb-17,200,24-Feb-17
24-Feb-17,200,26-Feb-17
26-Feb-17,200,28-Feb-17
28-Feb-17,200,2-Mar-17
2-Mar-17,200,4-Mar-17
4-Mar-17,200,6-Mar-17
6-Mar-17,200,8-Mar-17
8-Mar-17,200,10-Mar-17
10-Mar-17,200,12-Mar-17
12-Mar-17,200,14-Mar-17
14-Mar-17,200,16-Mar-17
16-Mar-17,200,18-Mar-17
18-Mar-17,200,20-Mar-17
20-Mar-17,200,22-Mar-17
22-Mar-17,200,24-Mar-17
24-Mar-17,200,26-Mar-17
26-Mar-17,200,28-Mar-17
28-Mar-17,200,30-Mar-17
30-Mar-17,200,1-Apr-17
1-Apr-17,200,3-Apr-17
3-Apr-17,200,5-Apr-17
5-Apr-17,200,7-Apr-17
7-Apr-17,200,9-Apr-17
9-Apr-17,200,11-Apr-17
11-Apr-17,200,13-Apr-17
13-Apr-17,200,15-Apr-17
