Date,Sales
12-Dec-16,107
13-Dec-16,99
14-Dec-16,93
15-Dec-16,101
16-Dec-16,124
17-Dec-16,117
18-Dec-16,101
19-Dec-16,106
20-Dec-16,96
21-Dec-16,94
22-Dec-16,99
23-Dec-16,121
24-Dec-16,119
25-Dec-16,103
26-Dec-16,109
27-Dec-16,97
28-Dec-16,98
29-Dec-16,106
30-Dec-16,120
31-Dec-16,124
1-Jan-17,106
2-Jan-17,111
3-Jan-17,101
4-Jan-17,100
5-Jan-17,105
6-Jan-17,120
7-Jan-17,117
8-Jan-17,100
9-Jan-17,106
10-Jan-17,99
11-Jan-17,96
12-Jan-17,106
13-Jan-17,123
14-Jan-17,122
15-Jan-17,98
16-Jan-17,111
17-Jan-17,99
18-Jan-17,94
19-Jan-17,105
20-Jan-17,124
21-Jan-17,121
22-Jan-17,101
23-Jan-17,106
24-Jan-17,100
25-Jan-17,100
26-Jan-17,105
27-Jan-17,121
28-Jan-17,119
29-Jan-17,105
30-Jan-17,112
31-Jan-17,104
1-Feb-17,100
2-Feb-17,104
3-Feb-17,125
4-Feb-17,125
5-Feb-17,104
6-Feb-17,110
7-Feb-17,100
8-Feb-17,94
9-Feb-17,104
10-Feb-17,122
11-Feb-17,121
12-Feb-17,105
13-Feb-17,110
14-Feb-17,100
15-Feb-17,96
16-Feb-17,105
17-Feb-17,124
18-Feb-17,124
19-Feb-17,107
20-Feb-17,112
21-Feb-17,105
22-Feb-17,103
23-Feb-17,106
24-Feb-17,132
25-Feb-17,124
26-Feb-17,106
27-Feb-17,113
28-Feb-17,109
1-Mar-17,105
2-Mar-17,114
3-Mar-17,128
4-Mar-17,127
5-Mar-17,105
6-Mar-17,115
7-Mar-17,102
8-Mar-17,99
9-Mar-17,111
10-Mar-17,132
11-Mar-17,129
12-Mar-17,111
13-Mar-17,121
14-Mar-17,109
15-Mar-17,106
16-Mar-17,109
17-Mar-17,133
18-Mar-17,133
19-Mar-17,114
20-Mar-17,116
21-Mar-17,111
22-Mar-17,106
23-Mar-17,111
24-Mar-17,132
25-Mar-17,133
26-Mar-17,113
27-Mar-17,117
28-Mar-17,108
29-Mar-17,103
30-Mar-17,112
31-Mar-17,133
1-Apr-17,130
2-Apr-17,111
3-Apr-17,121
4-Apr-17,108
5-Apr-17,109
6-Apr-17,115
7-Apr-17,137
8-Apr-17,134
9-Apr-17,114
10-Apr-17,120
11-Apr-17,111
12-Apr-17,110
13-Apr-17,119
14-Apr-17,135
15-Apr-17,137
16-Apr-17,116
17-Apr-17,121
18-Apr-17,112
19-Apr-17,106
20-Apr-17,120
21-Apr-17,137
22-Apr-17,137
23-Apr-17,121
24-Apr-17,123
25-Apr-17,113
26-Apr-17,114
27-Apr-17,120
28-Apr-17,142
29-Apr-17,140
30-Apr-17,119
1-May-17,128
2-May-17,115
3-May-17,111
4-May-17,123
5-May-17,148
6-May-17,136
7-May-17,119
8-May-17,124
9-May-17,116
10-May-17,113
