Date,Quantity,DOE
14/11/15,950,19/11/15
18/11/15,950,23/11/15
22/11/15,950,27/11/15
26/11/15,950,1/12/15
30/11/15,950,5/12/15
4/12/15,950,9/12/15
8/12/15,950,13/12/15
12/12/15,950,17/12/15
16/12/15,950,21/12/15
20/12/15,950,25/12/15
24/12/15,950,29/12/15
28/12/15,950,2/1/16
1/1/16,950,6/1/16
5/1/16,950,10/1/16
9/1/16,950,14/1/16
13/1/16,950,18/1/16
17/1/16,950,22/1/16
21/1/16,950,26/1/16
25/1/16,950,30/1/16
29/1/16,950,3/2/16
2/2/16,950,7/2/16
6/2/16,950,11/2/16
10/2/16,950,15/2/16
14/2/16,950,19/2/16
18/2/16,1000,23/2/16
22/2/16,1000,27/2/16
26/2/16,1000,2/3/16
1/3/16,1000,6/3/16
5/3/16,1000,10/3/16
9/3/16,1000,14/3/16
13/3/16,1000,18/3/16
17/3/16,1000,22/3/16
21/3/16,1000,26/3/16
25/3/16,1000,30/3/16
29/3/16,1000,3/4/16
2/4/16,1000,7/4/16
6/4/16,1000,11/4/16
10/4/16,1000,15/4/16
14/4/16,1000,19/4/16
18/4/16,1000,23/4/16
22/4/16,1000,27/4/16
26/4/16,1000,1/5/16
30/4/16,1000,5/5/16
4/5/16,1000,9/5/16
8/5/16,1000,13/5/16
12/5/16,1000,17/5/16
16/5/16,1000,21/5/16
20/5/16,1000,25/5/16
24/5/16,1000,29/5/16
28/5/16,1000,2/6/16
1/6/16,1000,6/6/16
5/6/16,1000,10/6/16
9/6/16,1000,14/6/16
13/6/16,1000,18/6/16
17/6/16,1000,22/6/16
21/6/16,1000,26/6/16
25/6/16,1000,30/6/16
29/6/16,1000,4/7/16
3/7/16,1000,8/7/16
7/7/16,1000,12/7/16
11/7/16,1000,16/7/16
15/7/16,1000,20/7/16
19/7/16,1000,24/7/16
23/7/16,1000,28/7/16
27/7/16,1000,1/8/16
31/7/16,1000,5/8/16
4/8/16,1000,9/8/16
8/8/16,1000,13/8/16
12/8/16,1000,17/8/16
16/8/16,1000,21/8/16
20/8/16,1000,25/8/16
24/8/16,1000,29/8/16
28/8/16,1050,2/9/16
1/9/16,1050,6/9/16
5/9/16,1050,10/9/16
9/9/16,1050,14/9/16
13/9/16,1050,18/9/16
17/9/16,1050,22/9/16
21/9/16,1050,26/9/16
25/9/16,1050,30/9/16
29/9/16,1050,4/10/16
3/10/16,1050,8/10/16
7/10/16,1050,12/10/16
11/10/16,1050,16/10/16
15/10/16,1050,20/10/16
19/10/16,1050,24/10/16
23/10/16,1050,28/10/16
27/10/16,1050,1/11/16
31/10/16,1050,5/11/16
4/11/16,1050,9/11/16
8/11/16,1050,13/11/16
12/11/16,1050,17/11/16
16/11/16,1050,21/11/16
20/11/16,1050,25/11/16
24/11/16,1050,29/11/16
28/11/16,1050,3/12/16
2/12/16,1050,7/12/16
6/12/16,1050,11/12/16
10/12/16,1050,15/12/16
14/12/16,1050,19/12/16
18/12/16,1050,23/12/16
22/12/16,1050,27/12/16
26/12/16,1050,31/12/16
30/12/16,1050,4/1/17
3/1/17,1050,8/1/17
7/1/17,1050,12/1/17
11/1/17,1050,16/1/17
15/1/17,1050,20/1/17
19/1/17,1050,24/1/17
23/1/17,1050,28/1/17
27/1/17,1050,1/2/17
31/1/17,1050,5/2/17
4/2/17,1050,9/2/17
8/2/17,1050,13/2/17
12/2/17,1050,17/2/17
16/2/17,1050,21/2/17
20/2/17,1050,25/2/17
24/2/17,1050,1/3/17
28/2/17,1050,5/3/17
