Date,Sales
16-Nov-16,268
17-Nov-16,240
18-Nov-16,234
19-Nov-16,263
20-Nov-16,303
21-Nov-16,288
22-Nov-16,241
23-Nov-16,273
24-Nov-16,236
25-Nov-16,227
26-Nov-16,253
27-Nov-16,300
28-Nov-16,299
29-Nov-16,247
30-Nov-16,263
1-Dec-16,236
2-Dec-16,229
3-Dec-16,239
4-Dec-16,299
5-Dec-16,281
6-Dec-16,244
7-Dec-16,257
8-Dec-16,237
9-Dec-16,236
10-Dec-16,244
11-Dec-16,290
12-Dec-16,287
13-Dec-16,237
14-Dec-16,254
15-Dec-16,231
16-Dec-16,225
17-Dec-16,243
18-Dec-16,296
19-Dec-16,283
20-Dec-16,245
21-Dec-16,253
22-Dec-16,235
23-Dec-16,230
24-Dec-16,253
25-Dec-16,298
26-Dec-16,285
27-Dec-16,245
28-Dec-16,261
29-Dec-16,231
30-Dec-16,226
31-Dec-16,240
1-Jan-17,293
2-Jan-17,287
3-Jan-17,242
4-Jan-17,258
5-Jan-17,232
6-Jan-17,232
7-Jan-17,244
8-Jan-17,300
9-Jan-17,294
10-Jan-17,242
11-Jan-17,255
12-Jan-17,246
13-Jan-17,230
14-Jan-17,250
15-Jan-17,304
16-Jan-17,289
17-Jan-17,256
18-Jan-17,270
19-Jan-17,244
20-Jan-17,231
21-Jan-17,255
22-Jan-17,310
23-Jan-17,295
24-Jan-17,256
25-Jan-17,278
26-Jan-17,243
27-Jan-17,240
28-Jan-17,263
29-Jan-17,308
30-Jan-17,303
31-Jan-17,259
1-Feb-17,266
2-Feb-17,254
3-Feb-17,238
4-Feb-17,264
5-Feb-17,321
6-Feb-17,310
7-Feb-17,250
8-Feb-17,269
9-Feb-17,240
10-Feb-17,240
11-Feb-17,260
12-Feb-17,308
13-Feb-17,303
14-Feb-17,264
15-Feb-17,276
16-Feb-17,255
17-Feb-17,235
18-Feb-17,252
19-Feb-17,311
20-Feb-17,296
21-Feb-17,251
22-Feb-17,274
23-Feb-17,250
24-Feb-17,242
25-Feb-17,262
26-Feb-17,306
27-Feb-17,296
28-Feb-17,260
1-Mar-17,276
2-Mar-17,247
3-Mar-17,240
4-Mar-17,245
5-Mar-17,295
6-Mar-17,281
7-Mar-17,245
8-Mar-17,267
9-Mar-17,244
10-Mar-17,228
11-Mar-17,250
12-Mar-17,297
13-Mar-17,288
14-Mar-17,255
15-Mar-17,273
16-Mar-17,249
17-Mar-17,238
18-Mar-17,261
19-Mar-17,311
20-Mar-17,308
21-Mar-17,256
22-Mar-17,267
23-Mar-17,251
24-Mar-17,234
25-Mar-17,264
26-Mar-17,317
27-Mar-17,301
28-Mar-17,261
29-Mar-17,284
30-Mar-17,264
31-Mar-17,246
1-Apr-17,265
2-Apr-17,313
3-Apr-17,303
4-Apr-17,265
5-Apr-17,279
6-Apr-17,257
7-Apr-17,240
8-Apr-17,273
9-Apr-17,315
10-Apr-17,311
11-Apr-17,265
12-Apr-17,275
13-Apr-17,257
14-Apr-17,243
