Date,Sales
16-Nov-16,275
17-Nov-16,255
18-Nov-16,241
19-Nov-16,265
20-Nov-16,326
21-Nov-16,296
22-Nov-16,247
23-Nov-16,270
24-Nov-16,248
25-Nov-16,241
26-Nov-16,253
27-Nov-16,309
28-Nov-16,306
29-Nov-16,263
30-Nov-16,268
1-Dec-16,249
2-Dec-16,239
3-Dec-16,266
4-Dec-16,326
5-Dec-16,298
6-Dec-16,264
7-Dec-16,288
8-Dec-16,254
9-Dec-16,253
10-Dec-16,276
11-Dec-16,321
12-Dec-16,306
13-Dec-16,262
14-Dec-16,275
15-Dec-16,257
16-Dec-16,246
17-Dec-16,272
18-Dec-16,331
19-Dec-16,296
20-Dec-16,260
21-Dec-16,262
22-Dec-16,250
23-Dec-16,234
24-Dec-16,262
25-Dec-16,311
26-Dec-16,300
27-Dec-16,252
28-Dec-16,278
29-Dec-16,242
30-Dec-16,239
31-Dec-16,254
1-Jan-17,326
2-Jan-17,305
3-Jan-17,260
4-Jan-17,264
5-Jan-17,239
6-Jan-17,234
7-Jan-17,270
8-Jan-17,321
9-Jan-17,299
10-Jan-17,252
11-Jan-17,263
12-Jan-17,237
13-Jan-17,244
14-Jan-17,262
15-Jan-17,322
16-Jan-17,286
17-Jan-17,260
18-Jan-17,270
19-Jan-17,241
20-Jan-17,231
21-Jan-17,251
22-Jan-17,302
23-Jan-17,291
24-Jan-17,249
25-Jan-17,263
26-Jan-17,244
27-Jan-17,230
28-Jan-17,251
29-Jan-17,299
30-Jan-17,281
31-Jan-17,249
1-Feb-17,261
2-Feb-17,246
3-Feb-17,235
4-Feb-17,254
5-Feb-17,319
6-Feb-17,291
7-Feb-17,239
8-Feb-17,272
9-Feb-17,248
10-Feb-17,235
11-Feb-17,267
12-Feb-17,320
13-Feb-17,294
14-Feb-17,252
15-Feb-17,267
16-Feb-17,244
17-Feb-17,238
18-Feb-17,256
19-Feb-17,322
20-Feb-17,293
21-Feb-17,258
22-Feb-17,277
23-Feb-17,253
24-Feb-17,242
25-Feb-17,278
26-Feb-17,335
27-Feb-17,314
28-Feb-17,265
1-Mar-17,285
2-Mar-17,263
3-Mar-17,254
4-Mar-17,274
5-Mar-17,326
6-Mar-17,307
7-Mar-17,256
8-Mar-17,273
9-Mar-17,251
10-Mar-17,257
11-Mar-17,265
12-Mar-17,330
13-Mar-17,303
14-Mar-17,258
15-Mar-17,279
16-Mar-17,253
17-Mar-17,255
18-Mar-17,278
19-Mar-17,324
20-Mar-17,309
21-Mar-17,262
22-Mar-17,277
23-Mar-17,262
24-Mar-17,248
25-Mar-17,277
26-Mar-17,335
27-Mar-17,312
28-Mar-17,269
29-Mar-17,297
30-Mar-17,266
31-Mar-17,256
1-Apr-17,282
2-Apr-17,347
3-Apr-17,325
4-Apr-17,284
5-Apr-17,302
6-Apr-17,264
7-Apr-17,266
8-Apr-17,282
9-Apr-17,341
10-Apr-17,326
11-Apr-17,276
12-Apr-17,298
13-Apr-17,271
14-Apr-17,269
