Date,Sales
16-Nov-16,220
17-Nov-16,214
18-Nov-16,218
19-Nov-16,228
20-Nov-16,298
21-Nov-16,294
22-Nov-16,204
23-Nov-16,224
24-Nov-16,220
25-Nov-16,225
26-Nov-16,218
27-Nov-16,302
28-Nov-16,297
29-Nov-16,196
30-Nov-16,217
1-Dec-16,213
2-Dec-16,226
3-Dec-16,228
4-Dec-16,302
5-Dec-16,293
6-Dec-16,195
7-Dec-16,214
8-Dec-16,214
9-Dec-16,214
10-Dec-16,227
11-Dec-16,309
12-Dec-16,287
13-Dec-16,199
14-Dec-16,216
15-Dec-16,212
16-Dec-16,219
17-Dec-16,214
18-Dec-16,295
19-Dec-16,282
20-Dec-16,197
21-Dec-16,214
22-Dec-16,219
23-Dec-16,218
24-Dec-16,228
25-Dec-16,305
26-Dec-16,298
27-Dec-16,216
28-Dec-16,227
29-Dec-16,223
30-Dec-16,239
31-Dec-16,241
1-Jan-17,318
2-Jan-17,317
3-Jan-17,207
4-Jan-17,231
5-Jan-17,228
6-Jan-17,230
7-Jan-17,232
8-Jan-17,333
9-Jan-17,321
10-Jan-17,221
11-Jan-17,235
12-Jan-17,233
13-Jan-17,235
14-Jan-17,240
15-Jan-17,335
16-Jan-17,314
17-Jan-17,211
18-Jan-17,225
19-Jan-17,232
20-Jan-17,234
21-Jan-17,238
22-Jan-17,335
23-Jan-17,310
24-Jan-17,212
25-Jan-17,239
26-Jan-17,223
27-Jan-17,234
28-Jan-17,238
29-Jan-17,329
30-Jan-17,308
31-Jan-17,217
1-Feb-17,237
2-Feb-17,228
3-Feb-17,230
4-Feb-17,240
5-Feb-17,315
6-Feb-17,311
7-Feb-17,212
8-Feb-17,234
9-Feb-17,227
10-Feb-17,223
11-Feb-17,235
12-Feb-17,312
13-Feb-17,306
14-Feb-17,213
15-Feb-17,234
16-Feb-17,216
17-Feb-17,230
18-Feb-17,239
19-Feb-17,312
20-Feb-17,308
21-Feb-17,214
22-Feb-17,231
23-Feb-17,228
24-Feb-17,225
25-Feb-17,231
26-Feb-17,319
27-Feb-17,310
28-Feb-17,215
1-Mar-17,227
2-Mar-17,218
3-Mar-17,223
4-Mar-17,239
5-Mar-17,325
6-Mar-17,299
7-Mar-17,210
8-Mar-17,226
9-Mar-17,216
10-Mar-17,231
11-Mar-17,237
12-Mar-17,324
13-Mar-17,310
14-Mar-17,207
15-Mar-17,222
16-Mar-17,217
17-Mar-17,222
18-Mar-17,223
19-Mar-17,308
20-Mar-17,304
21-Mar-17,197
22-Mar-17,224
23-Mar-17,219
24-Mar-17,219
25-Mar-17,227
26-Mar-17,316
27-Mar-17,293
28-Mar-17,209
29-Mar-17,227
30-Mar-17,227
31-Mar-17,236
1-Apr-17,231
2-Apr-17,317
3-Apr-17,314
4-Apr-17,211
5-Apr-17,233
6-Apr-17,221
7-Apr-17,230
8-Apr-17,234
9-Apr-17,310
10-Apr-17,307
11-Apr-17,206
12-Apr-17,230
13-Apr-17,219
14-Apr-17,222
