Date,Sales
12-Dec-16,199
13-Dec-16,206
14-Dec-16,206
15-Dec-16,220
16-Dec-16,293
17-Dec-16,293
18-Dec-16,200
19-Dec-16,209
20-Dec-16,212
21-Dec-16,205
22-Dec-16,230
23-Dec-16,295
24-Dec-16,301
25-Dec-16,200
26-Dec-16,213
27-Dec-16,225
28-Dec-16,207
29-Dec-16,221
30-Dec-16,296
31-Dec-16,302
1-Jan-17,207
2-Jan-17,207
3-Jan-17,220
4-Jan-17,207
5-Jan-17,223
6-Jan-17,302
7-Jan-17,301
8-Jan-17,209
9-Jan-17,209
10-Jan-17,228
11-Jan-17,217
12-Jan-17,229
13-Jan-17,297
14-Jan-17,299
15-Jan-17,208
16-Jan-17,211
17-Jan-17,222
18-Jan-17,212
19-Jan-17,231
20-Jan-17,303
21-Jan-17,304
22-Jan-17,203
23-Jan-17,215
24-Jan-17,224
25-Jan-17,211
26-Jan-17,219
27-Jan-17,300
28-Jan-17,305
29-Jan-17,207
30-Jan-17,209
31-Jan-17,226
1-Feb-17,211
2-Feb-17,233
3-Feb-17,298
4-Feb-17,312
5-Feb-17,205
6-Feb-17,209
7-Feb-17,227
8-Feb-17,210
9-Feb-17,223
10-Feb-17,302
11-Feb-17,303
12-Feb-17,209
13-Feb-17,217
14-Feb-17,222
15-Feb-17,214
16-Feb-17,225
17-Feb-17,307
18-Feb-17,324
19-Feb-17,222
20-Feb-17,221
21-Feb-17,237
22-Feb-17,222
23-Feb-17,243
24-Feb-17,311
25-Feb-17,321
26-Feb-17,220
27-Feb-17,220
28-Feb-17,232
1-Mar-17,227
2-Mar-17,245
3-Mar-17,310
4-Mar-17,317
5-Mar-17,222
6-Mar-17,227
7-Mar-17,250
8-Mar-17,226
9-Mar-17,250
10-Mar-17,321
11-Mar-17,339
12-Mar-17,224
13-Mar-17,231
14-Mar-17,249
15-Mar-17,243
16-Mar-17,260
17-Mar-17,337
18-Mar-17,339
19-Mar-17,228
20-Mar-17,234
21-Mar-17,243
22-Mar-17,230
23-Mar-17,252
24-Mar-17,326
25-Mar-17,350
26-Mar-17,240
27-Mar-17,232
28-Mar-17,251
29-Mar-17,236
30-Mar-17,261
31-Mar-17,336
1-Apr-17,349
2-Apr-17,227
3-Apr-17,239
4-Apr-17,254
5-Apr-17,242
6-Apr-17,252
7-Apr-17,343
8-Apr-17,342
9-Apr-17,236
10-Apr-17,249
11-Apr-17,260
12-Apr-17,246
13-Apr-17,264
14-Apr-17,355
15-Apr-17,348
16-Apr-17,239
17-Apr-17,256
18-Apr-17,268
19-Apr-17,256
20-Apr-17,278
21-Apr-17,371
22-Apr-17,363
23-Apr-17,244
24-Apr-17,260
25-Apr-17,272
26-Apr-17,257
27-Apr-17,271
28-Apr-17,361
29-Apr-17,360
30-Apr-17,252
1-May-17,249
2-May-17,275
3-May-17,261
4-May-17,274
5-May-17,374
6-May-17,371
7-May-17,254
8-May-17,252
9-May-17,263
10-May-17,250
