Date,Sales
12-Dec-16,173
13-Dec-16,186
14-Dec-16,176
15-Dec-16,184
16-Dec-16,250
17-Dec-16,241
18-Dec-16,172
19-Dec-16,168
20-Dec-16,182
21-Dec-16,171
22-Dec-16,187
23-Dec-16,248
24-Dec-16,248
25-Dec-16,171
26-Dec-16,177
27-Dec-16,179
28-Dec-16,172
29-Dec-16,190
30-Dec-16,253
31-Dec-16,248
1-Jan-17,166
2-Jan-17,176
3-Jan-17,184
4-Jan-17,180
5-Jan-17,182
6-Jan-17,239
7-Jan-17,255
8-Jan-17,166
9-Jan-17,166
10-Jan-17,184
11-Jan-17,172
12-Jan-17,176
13-Jan-17,232
14-Jan-17,240
15-Jan-17,168
16-Jan-17,164
17-Jan-17,175
18-Jan-17,169
19-Jan-17,180
20-Jan-17,246
21-Jan-17,242
22-Jan-17,172
23-Jan-17,175
24-Jan-17,184
25-Jan-17,173
26-Jan-17,192
27-Jan-17,246
28-Jan-17,249
29-Jan-17,173
30-Jan-17,176
31-Jan-17,192
1-Feb-17,180
2-Feb-17,189
3-Feb-17,252
4-Feb-17,250
5-Feb-17,177
6-Feb-17,173
7-Feb-17,195
8-Feb-17,173
9-Feb-17,194
10-Feb-17,251
11-Feb-17,260
12-Feb-17,172
13-Feb-17,179
14-Feb-17,193
15-Feb-17,175
16-Feb-17,191
17-Feb-17,251
18-Feb-17,257
19-Feb-17,180
20-Feb-17,176
21-Feb-17,186
22-Feb-17,175
23-Feb-17,192
24-Feb-17,259
25-Feb-17,266
26-Feb-17,175
27-Feb-17,179
28-Feb-17,190
1-Mar-17,173
2-Mar-17,187
3-Mar-17,249
4-Mar-17,254
5-Mar-17,172
6-Mar-17,182
7-Mar-17,191
8-Mar-17,176
9-Mar-17,200
10-Mar-17,265
11-Mar-17,261
12-Mar-17,178
13-Mar-17,182
14-Mar-17,199
15-Mar-17,181
16-Mar-17,202
17-Mar-17,266
18-Mar-17,275
19-Mar-17,194
20-Mar-17,195
21-Mar-17,214
22-Mar-17,197
23-Mar-17,213
24-Mar-17,282
25-Mar-17,288
26-Mar-17,201
27-Mar-17,202
28-Mar-17,219
29-Mar-17,200
30-Mar-17,219
31-Mar-17,293
1-Apr-17,299
2-Apr-17,211
3-Apr-17,214
4-Apr-17,224
5-Apr-17,211
6-Apr-17,222
7-Apr-17,290
8-Apr-17,302
9-Apr-17,197
10-Apr-17,204
11-Apr-17,220
12-Apr-17,203
13-Apr-17,222
14-Apr-17,294
15-Apr-17,300
16-Apr-17,206
17-Apr-17,205
18-Apr-17,212
19-Apr-17,206
20-Apr-17,225
21-Apr-17,287
22-Apr-17,300
23-Apr-17,203
24-Apr-17,202
25-Apr-17,215
26-Apr-17,199
27-Apr-17,218
28-Apr-17,285
29-Apr-17,297
30-Apr-17,201
1-May-17,214
2-May-17,229
3-May-17,216
4-May-17,234
5-May-17,298
6-May-17,305
7-May-17,213
8-May-17,206
9-May-17,229
10-May-17,209
