Date,Sales
16-Nov-16,127
17-Nov-16,118
18-Nov-16,112
19-Nov-16,120
20-Nov-16,149
21-Nov-16,142
22-Nov-16,122
23-Nov-16,130
24-Nov-16,119
25-Nov-16,116
26-Nov-16,124
27-Nov-16,152
28-Nov-16,140
29-Nov-16,120
30-Nov-16,128
1-Dec-16,116
2-Dec-16,112
3-Dec-16,126
4-Dec-16,150
5-Dec-16,137
6-Dec-16,119
7-Dec-16,130
8-Dec-16,118
9-Dec-16,113
10-Dec-16,124
11-Dec-16,149
12-Dec-16,139
13-Dec-16,118
14-Dec-16,126
15-Dec-16,114
16-Dec-16,111
17-Dec-16,120
18-Dec-16,146
19-Dec-16,137
20-Dec-16,115
21-Dec-16,123
22-Dec-16,112
23-Dec-16,107
24-Dec-16,119
25-Dec-16,148
26-Dec-16,135
27-Dec-16,115
28-Dec-16,120
29-Dec-16,109
30-Dec-16,111
31-Dec-16,117
1-Jan-17,143
2-Jan-17,136
3-Jan-17,116
4-Jan-17,120
5-Jan-17,110
6-Jan-17,112
7-Jan-17,118
8-Jan-17,150
9-Jan-17,138
10-Jan-17,113
11-Jan-17,122
12-Jan-17,117
13-Jan-17,114
14-Jan-17,121
15-Jan-17,150
16-Jan-17,133
17-Jan-17,117
18-Jan-17,124
19-Jan-17,110
20-Jan-17,107
21-Jan-17,118
22-Jan-17,140
23-Jan-17,136
24-Jan-17,117
25-Jan-17,117
26-Jan-17,112
27-Jan-17,107
28-Jan-17,115
29-Jan-17,142
30-Jan-17,133
31-Jan-17,112
1-Feb-17,121
2-Feb-17,113
3-Feb-17,110
4-Feb-17,118
5-Feb-17,148
6-Feb-17,135
7-Feb-17,115
8-Feb-17,121
9-Feb-17,116
10-Feb-17,110
11-Feb-17,122
12-Feb-17,148
13-Feb-17,136
14-Feb-17,116
15-Feb-17,124
16-Feb-17,120
17-Feb-17,116
18-Feb-17,124
19-Feb-17,155
20-Feb-17,140
21-Feb-17,124
22-Feb-17,128
23-Feb-17,116
24-Feb-17,118
25-Feb-17,122
26-Feb-17,150
27-Feb-17,145
28-Feb-17,122
1-Mar-17,133
2-Mar-17,115
3-Mar-17,112
4-Mar-17,121
5-Mar-17,154
6-Mar-17,142
7-Mar-17,124
8-Mar-17,127
9-Mar-17,114
10-Mar-17,111
11-Mar-17,121
12-Mar-17,146
13-Mar-17,138
14-Mar-17,118
15-Mar-17,129
16-Mar-17,116
17-Mar-17,114
18-Mar-17,124
19-Mar-17,154
20-Mar-17,141
21-Mar-17,117
22-Mar-17,124
23-Mar-17,115
24-Mar-17,114
25-Mar-17,121
26-Mar-17,152
27-Mar-17,139
28-Mar-17,121
29-Mar-17,130
30-Mar-17,117
31-Mar-17,114
1-Apr-17,124
2-Apr-17,151
3-Apr-17,144
4-Apr-17,117
5-Apr-17,126
6-Apr-17,116
7-Apr-17,117
8-Apr-17,126
9-Apr-17,150
10-Apr-17,145
11-Apr-17,119
12-Apr-17,133
13-Apr-17,119
14-Apr-17,116
