Date,Sales
8-Aug-16,371
9-Aug-16,344
10-Aug-16,342
11-Aug-16,336
12-Aug-16,354
13-Aug-16,382
14-Aug-16,357
15-Aug-16,380
16-Aug-16,351
17-Aug-16,341
18-Aug-16,332
19-Aug-16,353
20-Aug-16,390
21-Aug-16,359
22-Aug-16,377
23-Aug-16,350
24-Aug-16,342
25-Aug-16,339
26-Aug-16,352
27-Aug-16,383
28-Aug-16,366
29-Aug-16,385
30-Aug-16,355
31-Aug-16,341
1-Sep-16,335
2-Sep-16,359
3-Sep-16,394
4-Sep-16,370
5-Sep-16,385
6-Sep-16,354
7-Sep-16,347
8-Sep-16,343
9-Sep-16,362
10-Sep-16,395
11-Sep-16,371
12-Sep-16,390
13-Sep-16,371
14-Sep-16,356
15-Sep-16,350
16-Sep-16,375
17-Sep-16,412
18-Sep-16,387
19-Sep-16,405
20-Sep-16,380
21-Sep-16,367
22-Sep-16,362
23-Sep-16,382
24-Sep-16,420
25-Sep-16,394
26-Sep-16,415
27-Sep-16,389
28-Sep-16,371
29-Sep-16,368
30-Sep-16,391
1-Oct-16,425
2-Oct-16,393
3-Oct-16,416
4-Oct-16,392
5-Oct-16,381
6-Oct-16,372
7-Oct-16,396
8-Oct-16,433
9-Oct-16,404
10-Oct-16,423
11-Oct-16,396
12-Oct-16,385
13-Oct-16,384
14-Oct-16,404
15-Oct-16,451
16-Oct-16,415
17-Oct-16,440
18-Oct-16,411
19-Oct-16,396
20-Oct-16,395
21-Oct-16,421
22-Oct-16,461
23-Oct-16,427
24-Oct-16,450
25-Oct-16,424
26-Oct-16,413
27-Oct-16,399
28-Oct-16,423
29-Oct-16,465
30-Oct-16,429
31-Oct-16,455
1-Nov-16,422
2-Nov-16,413
3-Nov-16,410
4-Nov-16,428
5-Nov-16,475
6-Nov-16,435
7-Nov-16,459
8-Nov-16,423
9-Nov-16,411
10-Nov-16,402
11-Nov-16,428
12-Nov-16,462
13-Nov-16,431
14-Nov-16,460
15-Nov-16,433
16-Nov-16,425
17-Nov-16,413
18-Nov-16,442
19-Nov-16,480
20-Nov-16,451
21-Nov-16,476
22-Nov-16,446
23-Nov-16,430
24-Nov-16,420
25-Nov-16,446
26-Nov-16,485
27-Nov-16,451
28-Nov-16,468
29-Nov-16,442
30-Nov-16,430
1-Dec-16,417
2-Dec-16,438
3-Dec-16,489
4-Dec-16,446
5-Dec-16,471
6-Dec-16,439
7-Dec-16,424
8-Dec-16,415
9-Dec-16,443
10-Dec-16,487
11-Dec-16,450
12-Dec-16,476
13-Dec-16,450
14-Dec-16,435
15-Dec-16,425
16-Dec-16,458
17-Dec-16,495
18-Dec-16,457
19-Dec-16,484
20-Dec-16,444
21-Dec-16,440
22-Dec-16,428
23-Dec-16,450
24-Dec-16,493
25-Dec-16,457
26-Dec-16,484
27-Dec-16,456
28-Dec-16,437
29-Dec-16,436
30-Dec-16,459
31-Dec-16,505
1-Jan-17,476
2-Jan-17,509
3-Jan-17,463
4-Jan-17,459
5-Jan-17,458
6-Jan-17,482
7-Jan-17,525
8-Jan-17,492
9-Jan-17,518
10-Jan-17,478
11-Jan-17,462
12-Jan-17,457
13-Jan-17,488
14-Jan-17,531
15-Jan-17,493
16-Jan-17,525
17-Jan-17,488
18-Jan-17,477
19-Jan-17,469
20-Jan-17,492
21-Jan-17,542
22-Jan-17,506
23-Jan-17,529
24-Jan-17,482
25-Jan-17,474
26-Jan-17,459
27-Jan-17,488
28-Jan-17,533
29-Jan-17,498
30-Jan-17,518
31-Jan-17,476
1-Feb-17,465
2-Feb-17,455
3-Feb-17,481
4-Feb-17,519
5-Feb-17,486
6-Feb-17,515
7-Feb-17,478
8-Feb-17,470
9-Feb-17,455
10-Feb-17,480
11-Feb-17,520
12-Feb-17,484
13-Feb-17,516
14-Feb-17,474
15-Feb-17,465
16-Feb-17,457
17-Feb-17,488
18-Feb-17,523
19-Feb-17,490
20-Feb-17,516
21-Feb-17,484
22-Feb-17,471
23-Feb-17,470
24-Feb-17,501
25-Feb-17,547
26-Feb-17,512
27-Feb-17,542
28-Feb-17,508
1-Mar-17,492
2-Mar-17,487
3-Mar-17,515
4-Mar-17,553
5-Mar-17,528
6-Mar-17,557
7-Mar-17,529
8-Mar-17,508
9-Mar-17,502
10-Mar-17,532
11-Mar-17,588
12-Mar-17,548
13-Mar-17,565
14-Mar-17,531
15-Mar-17,519
16-Mar-17,508
17-Mar-17,539
18-Mar-17,588
19-Mar-17,545
20-Mar-17,572
21-Mar-17,528
22-Mar-17,505
23-Mar-17,508
24-Mar-17,534
25-Mar-17,576
26-Mar-17,539
27-Mar-17,569
28-Mar-17,532
29-Mar-17,522
30-Mar-17,509
31-Mar-17,536
1-Apr-17,582
2-Apr-17,552
3-Apr-17,576
4-Apr-17,545
5-Apr-17,519
6-Apr-17,520
7-Apr-17,555
8-Apr-17,607
9-Apr-17,566
10-Apr-17,587
11-Apr-17,554
12-Apr-17,529
13-Apr-17,526
14-Apr-17,557
