Date,Sales
8-Aug-16,441
9-Aug-16,411
10-Aug-16,403
11-Aug-16,393
12-Aug-16,414
13-Aug-16,449
14-Aug-16,414
15-Aug-16,439
16-Aug-16,408
17-Aug-16,394
18-Aug-16,390
19-Aug-16,407
20-Aug-16,436
21-Aug-16,412
22-Aug-16,434
23-Aug-16,404
24-Aug-16,392
25-Aug-16,386
26-Aug-16,408
27-Aug-16,438
28-Aug-16,411
29-Aug-16,423
30-Aug-16,391
31-Aug-16,378
1-Sep-16,378
2-Sep-16,398
3-Sep-16,438
4-Sep-16,409
5-Sep-16,429
6-Sep-16,397
7-Sep-16,379
8-Sep-16,368
9-Sep-16,399
10-Sep-16,427
11-Sep-16,394
12-Sep-16,417
13-Sep-16,394
14-Sep-16,386
15-Sep-16,380
16-Sep-16,399
17-Sep-16,438
18-Sep-16,409
19-Sep-16,436
20-Sep-16,401
21-Sep-16,394
22-Sep-16,390
23-Sep-16,407
24-Sep-16,451
25-Sep-16,420
26-Sep-16,437
27-Sep-16,406
28-Sep-16,396
29-Sep-16,391
30-Sep-16,418
1-Oct-16,449
2-Oct-16,416
3-Oct-16,439
4-Oct-16,409
5-Oct-16,398
6-Oct-16,383
7-Oct-16,408
8-Oct-16,439
9-Oct-16,413
10-Oct-16,430
11-Oct-16,409
12-Oct-16,400
13-Oct-16,391
14-Oct-16,413
15-Oct-16,446
16-Oct-16,417
17-Oct-16,439
18-Oct-16,420
19-Oct-16,401
20-Oct-16,386
21-Oct-16,406
22-Oct-16,445
23-Oct-16,418
24-Oct-16,441
25-Oct-16,415
26-Oct-16,399
27-Oct-16,396
28-Oct-16,417
29-Oct-16,452
30-Oct-16,422
31-Oct-16,444
1-Nov-16,414
2-Nov-16,407
3-Nov-16,399
4-Nov-16,426
5-Nov-16,462
6-Nov-16,432
7-Nov-16,450
8-Nov-16,426
9-Nov-16,410
10-Nov-16,400
11-Nov-16,423
12-Nov-16,452
13-Nov-16,422
14-Nov-16,438
15-Nov-16,413
16-Nov-16,392
17-Nov-16,387
18-Nov-16,408
19-Nov-16,451
20-Nov-16,423
21-Nov-16,442
22-Nov-16,409
23-Nov-16,399
24-Nov-16,388
25-Nov-16,405
26-Nov-16,442
27-Nov-16,414
28-Nov-16,434
29-Nov-16,398
30-Nov-16,389
1-Dec-16,385
2-Dec-16,403
3-Dec-16,441
4-Dec-16,408
5-Dec-16,430
6-Dec-16,397
7-Dec-16,391
8-Dec-16,375
9-Dec-16,404
10-Dec-16,431
11-Dec-16,398
12-Dec-16,421
13-Dec-16,385
14-Dec-16,376
15-Dec-16,370
16-Dec-16,399
17-Dec-16,431
18-Dec-16,399
19-Dec-16,427
20-Dec-16,396
21-Dec-16,383
22-Dec-16,373
23-Dec-16,398
24-Dec-16,441
25-Dec-16,412
26-Dec-16,425
27-Dec-16,396
28-Dec-16,386
29-Dec-16,383
30-Dec-16,403
31-Dec-16,431
1-Jan-17,402
2-Jan-17,414
3-Jan-17,393
4-Jan-17,378
5-Jan-17,375
6-Jan-17,402
7-Jan-17,434
8-Jan-17,405
9-Jan-17,423
10-Jan-17,397
11-Jan-17,376
12-Jan-17,365
13-Jan-17,392
14-Jan-17,422
15-Jan-17,396
16-Jan-17,416
17-Jan-17,392
18-Jan-17,375
19-Jan-17,371
20-Jan-17,398
21-Jan-17,438
22-Jan-17,403
23-Jan-17,430
24-Jan-17,402
25-Jan-17,391
26-Jan-17,386
27-Jan-17,406
28-Jan-17,442
29-Jan-17,415
30-Jan-17,436
31-Jan-17,410
1-Feb-17,395
2-Feb-17,390
3-Feb-17,412
4-Feb-17,454
5-Feb-17,426
6-Feb-17,453
7-Feb-17,422
8-Feb-17,405
9-Feb-17,399
10-Feb-17,420
11-Feb-17,457
12-Feb-17,427
13-Feb-17,449
14-Feb-17,416
15-Feb-17,410
16-Feb-17,396
17-Feb-17,422
18-Feb-17,456
19-Feb-17,422
20-Feb-17,445
21-Feb-17,416
22-Feb-17,404
23-Feb-17,403
24-Feb-17,418
25-Feb-17,454
26-Feb-17,420
27-Feb-17,449
28-Feb-17,422
1-Mar-17,404
2-Mar-17,399
3-Mar-17,423
4-Mar-17,452
5-Mar-17,420
6-Mar-17,441
7-Mar-17,412
8-Mar-17,397
9-Mar-17,390
10-Mar-17,418
11-Mar-17,459
12-Mar-17,428
13-Mar-17,449
14-Mar-17,419
15-Mar-17,401
16-Mar-17,393
17-Mar-17,416
18-Mar-17,452
19-Mar-17,413
20-Mar-17,440
21-Mar-17,406
22-Mar-17,399
23-Mar-17,393
24-Mar-17,416
25-Mar-17,455
26-Mar-17,422
27-Mar-17,439
28-Mar-17,405
29-Mar-17,398
30-Mar-17,388
31-Mar-17,415
1-Apr-17,454
2-Apr-17,420
3-Apr-17,437
4-Apr-17,407
5-Apr-17,395
6-Apr-17,394
7-Apr-17,415
8-Apr-17,451
9-Apr-17,424
10-Apr-17,450
11-Apr-17,426
12-Apr-17,410
13-Apr-17,396
14-Apr-17,420
