Date,Quantity,DOE
8-Aug-16,1000,10-Aug-16
10-Aug-16,950,12-Aug-16
12-Aug-16,1050,14-Aug-16
14-Aug-16,1050,16-Aug-16
16-Aug-16,1000,18-Aug-16
18-Aug-16,1000,20-Aug-16
20-Aug-16,1050,22-Aug-16
22-Aug-16,1050,24-Aug-16
24-Aug-16,1000,26-Aug-16
26-Aug-16,1100,28-Aug-16
28-Aug-16,1050,30-Aug-16
30-Aug-16,1000,1-Sep-16
1-Sep-16,1000,3-Sep-16
3-Sep-16,1100,5-Sep-16
5-Sep-16,1050,7-Sep-16
7-Sep-16,1000,9-Sep-16
9-Sep-16,1100,11-Sep-16
11-Sep-16,1100,13-Sep-16
13-Sep-16,1050,15-Sep-16
15-Sep-16,1050,17-Sep-16
17-Sep-16,1100,19-Sep-16
19-Sep-16,1100,21-Sep-16
21-Sep-16,1050,23-Sep-16
23-Sep-16,1100,25-Sep-16
25-Sep-16,1150,27-Sep-16
27-Sep-16,1100,29-Sep-16
29-Sep-16,1100,1-Oct-16
1-Oct-16,1150,3-Oct-16
3-Oct-16,1150,5-Oct-16
5-Oct-16,1050,7-Oct-16
7-Oct-16,1150,9-Oct-16
9-Oct-16,1150,11-Oct-16
11-Oct-16,1100,13-Oct-16
13-Oct-16,1100,15-Oct-16
15-Oct-16,1200,17-Oct-16
17-Oct-16,1150,19-Oct-16
19-Oct-16,1100,21-Oct-16
21-Oct-16,1200,23-Oct-16
23-Oct-16,1200,25-Oct-16
25-Oct-16,1100,27-Oct-16
27-Oct-16,1100,29-Oct-16
29-Oct-16,1150,31-Oct-16
31-Oct-16,1150,2-Nov-16
2-Nov-16,1100,4-Nov-16
4-Nov-16,1200,6-Nov-16
6-Nov-16,1200,8-Nov-16
8-Nov-16,1100,10-Nov-16
10-Nov-16,1100,12-Nov-16
12-Nov-16,1200,14-Nov-16
14-Nov-16,1150,16-Nov-16
16-Nov-16,1100,18-Nov-16
18-Nov-16,1200,20-Nov-16
20-Nov-16,1150,22-Nov-16
22-Nov-16,1100,24-Nov-16
24-Nov-16,1100,26-Nov-16
26-Nov-16,1200,28-Nov-16
28-Nov-16,1150,30-Nov-16
30-Nov-16,1100,2-Dec-16
2-Dec-16,1150,4-Dec-16
4-Dec-16,1150,6-Dec-16
6-Dec-16,1100,8-Dec-16
8-Dec-16,1100,10-Dec-16
10-Dec-16,1150,12-Dec-16
12-Dec-16,1150,14-Dec-16
14-Dec-16,1050,16-Dec-16
16-Dec-16,1150,18-Dec-16
18-Dec-16,1150,20-Dec-16
20-Dec-16,1100,22-Dec-16
22-Dec-16,1100,24-Dec-16
24-Dec-16,1150,26-Dec-16
26-Dec-16,1150,28-Dec-16
28-Dec-16,1100,30-Dec-16
30-Dec-16,1150,1-Jan-17
1-Jan-17,1150,3-Jan-17
3-Jan-17,1150,5-Jan-17
5-Jan-17,1150,7-Jan-17
7-Jan-17,1250,9-Jan-17
9-Jan-17,1200,11-Jan-17
11-Jan-17,1150,13-Jan-17
13-Jan-17,1200,15-Jan-17
15-Jan-17,1200,17-Jan-17
17-Jan-17,1150,19-Jan-17
19-Jan-17,1150,21-Jan-17
21-Jan-17,1200,23-Jan-17
23-Jan-17,1200,25-Jan-17
25-Jan-17,1150,27-Jan-17
27-Jan-17,1200,29-Jan-17
29-Jan-17,1200,31-Jan-17
31-Jan-17,1150,2-Feb-17
2-Feb-17,1150,4-Feb-17
4-Feb-17,1200,6-Feb-17
6-Feb-17,1200,8-Feb-17
8-Feb-17,1150,10-Feb-17
10-Feb-17,1200,12-Feb-17
12-Feb-17,1200,14-Feb-17
14-Feb-17,1150,16-Feb-17
16-Feb-17,1150,18-Feb-17
18-Feb-17,1250,20-Feb-17
20-Feb-17,1200,22-Feb-17
22-Feb-17,1150,24-Feb-17
24-Feb-17,1250,26-Feb-17
26-Feb-17,1200,28-Feb-17
28-Feb-17,1150,2-Mar-17
2-Mar-17,1150,4-Mar-17
4-Mar-17,1250,6-Mar-17
6-Mar-17,1250,8-Mar-17
8-Mar-17,1150,10-Mar-17
10-Mar-17,1250,12-Mar-17
12-Mar-17,1250,14-Mar-17
14-Mar-17,1150,16-Mar-17
16-Mar-17,1150,18-Mar-17
18-Mar-17,1250,20-Mar-17
20-Mar-17,1250,22-Mar-17
22-Mar-17,1150,24-Mar-17
24-Mar-17,1250,26-Mar-17
26-Mar-17,1200,28-Mar-17
28-Mar-17,1150,30-Mar-17
30-Mar-17,1150,1-Apr-17
1-Apr-17,1250,3-Apr-17
3-Apr-17,1200,5-Apr-17
5-Apr-17,1100,7-Apr-17
7-Apr-17,1200,9-Apr-17
9-Apr-17,1200,11-Apr-17
11-Apr-17,1150,13-Apr-17
13-Apr-17,1150,15-Apr-17
15-Apr-17,1150,17-Apr-17
17-Apr-17,1150,19-Apr-17
19-Apr-17,1150,21-Apr-17
21-Apr-17,1150,23-Apr-17
23-Apr-17,1150,25-Apr-17
25-Apr-17,1150,27-Apr-17
27-Apr-17,1150,29-Apr-17
29-Apr-17,1150,1-May-17
1-May-17,1150,3-May-17
