Date,Sales
8-Aug-16,519
9-Aug-16,479
10-Aug-16,473
11-Aug-16,458
12-Aug-16,488
13-Aug-16,529
14-Aug-16,494
15-Aug-16,517
16-Aug-16,477
17-Aug-16,460
18-Aug-16,453
19-Aug-16,484
20-Aug-16,522
21-Aug-16,486
22-Aug-16,519
23-Aug-16,488
24-Aug-16,465
25-Aug-16,456
26-Aug-16,485
27-Aug-16,531
28-Aug-16,502
29-Aug-16,526
30-Aug-16,480
31-Aug-16,472
1-Sep-16,465
2-Sep-16,500
3-Sep-16,544
4-Sep-16,512
5-Sep-16,539
6-Sep-16,496
7-Sep-16,486
8-Sep-16,481
9-Sep-16,515
10-Sep-16,563
11-Sep-16,521
12-Sep-16,544
13-Sep-16,516
14-Sep-16,499
15-Sep-16,495
16-Sep-16,517
17-Sep-16,563
18-Sep-16,525
19-Sep-16,557
20-Sep-16,522
21-Sep-16,513
22-Sep-16,504
23-Sep-16,536
24-Sep-16,585
25-Sep-16,540
26-Sep-16,567
27-Sep-16,528
28-Sep-16,513
29-Sep-16,508
30-Sep-16,544
1-Oct-16,587
2-Oct-16,552
3-Oct-16,583
4-Oct-16,550
5-Oct-16,538
6-Oct-16,524
7-Oct-16,560
8-Oct-16,610
9-Oct-16,567
10-Oct-16,599
11-Oct-16,548
12-Oct-16,536
13-Oct-16,521
14-Oct-16,556
15-Oct-16,603
16-Oct-16,570
17-Oct-16,587
18-Oct-16,552
19-Oct-16,536
20-Oct-16,526
21-Oct-16,548
22-Oct-16,594
23-Oct-16,553
24-Oct-16,583
25-Oct-16,543
26-Oct-16,532
27-Oct-16,519
28-Oct-16,554
29-Oct-16,599
30-Oct-16,554
31-Oct-16,588
1-Nov-16,547
2-Nov-16,538
3-Nov-16,527
4-Nov-16,554
5-Nov-16,621
6-Nov-16,572
7-Nov-16,604
8-Nov-16,567
9-Nov-16,549
10-Nov-16,534
11-Nov-16,564
12-Nov-16,614
13-Nov-16,569
14-Nov-16,597
15-Nov-16,548
16-Nov-16,531
17-Nov-16,515
18-Nov-16,549
19-Nov-16,602
20-Nov-16,561
21-Nov-16,595
22-Nov-16,553
23-Nov-16,533
24-Nov-16,524
25-Nov-16,562
26-Nov-16,610
27-Nov-16,568
28-Nov-16,600
29-Nov-16,547
30-Nov-16,532
1-Dec-16,530
2-Dec-16,554
3-Dec-16,598
4-Dec-16,563
5-Dec-16,590
6-Dec-16,560
7-Dec-16,539
8-Dec-16,532
9-Dec-16,563
10-Dec-16,611
11-Dec-16,578
12-Dec-16,604
13-Dec-16,551
14-Dec-16,541
15-Dec-16,536
16-Dec-16,560
17-Dec-16,613
18-Dec-16,566
19-Dec-16,598
20-Dec-16,561
21-Dec-16,550
22-Dec-16,537
23-Dec-16,565
24-Dec-16,626
25-Dec-16,588
26-Dec-16,616
27-Dec-16,578
28-Dec-16,553
29-Dec-16,543
30-Dec-16,574
31-Dec-16,631
1-Jan-17,589
2-Jan-17,603
3-Jan-17,564
4-Jan-17,542
5-Jan-17,532
6-Jan-17,552
7-Jan-17,616
8-Jan-17,564
9-Jan-17,595
10-Jan-17,550
11-Jan-17,536
12-Jan-17,535
13-Jan-17,574
14-Jan-17,623
15-Jan-17,570
16-Jan-17,603
17-Jan-17,559
18-Jan-17,541
19-Jan-17,537
20-Jan-17,574
21-Jan-17,632
22-Jan-17,595
23-Jan-17,630
24-Jan-17,593
25-Jan-17,581
26-Jan-17,575
27-Jan-17,603
28-Jan-17,659
29-Jan-17,613
30-Jan-17,630
31-Jan-17,588
1-Feb-17,573
2-Feb-17,561
3-Feb-17,598
4-Feb-17,639
5-Feb-17,608
6-Feb-17,638
7-Feb-17,595
8-Feb-17,573
9-Feb-17,571
10-Feb-17,597
11-Feb-17,660
12-Feb-17,613
13-Feb-17,629
14-Feb-17,596
15-Feb-17,570
16-Feb-17,552
17-Feb-17,601
18-Feb-17,650
19-Feb-17,605
20-Feb-17,629
21-Feb-17,595
22-Feb-17,587
23-Feb-17,581
24-Feb-17,614
25-Feb-17,666
26-Feb-17,612
27-Feb-17,641
28-Feb-17,606
1-Mar-17,585
2-Mar-17,590
3-Mar-17,623
4-Mar-17,680
5-Mar-17,631
6-Mar-17,657
7-Mar-17,610
8-Mar-17,586
9-Mar-17,579
10-Mar-17,609
11-Mar-17,666
12-Mar-17,622
13-Mar-17,657
14-Mar-17,614
15-Mar-17,586
16-Mar-17,583
17-Mar-17,608
18-Mar-17,657
19-Mar-17,616
20-Mar-17,641
21-Mar-17,593
22-Mar-17,571
23-Mar-17,566
24-Mar-17,594
25-Mar-17,655
26-Mar-17,616
27-Mar-17,646
28-Mar-17,604
29-Mar-17,592
30-Mar-17,576
31-Mar-17,608
1-Apr-17,660
2-Apr-17,613
3-Apr-17,640
4-Apr-17,595
5-Apr-17,586
6-Apr-17,579
7-Apr-17,618
8-Apr-17,678
9-Apr-17,631
10-Apr-17,668
11-Apr-17,623
12-Apr-17,600
13-Apr-17,586
14-Apr-17,623
