Date,Quantity,DOE
8-Aug-16,1040,10-Aug-16
10-Aug-16,940,12-Aug-16
12-Aug-16,1040,14-Aug-16
14-Aug-16,1040,16-Aug-16
16-Aug-16,940,18-Aug-16
18-Aug-16,940,20-Aug-16
20-Aug-16,1040,22-Aug-16
22-Aug-16,990,24-Aug-16
24-Aug-16,940,26-Aug-16
26-Aug-16,990,28-Aug-16
28-Aug-16,1040,30-Aug-16
30-Aug-16,940,1-Sep-16
1-Sep-16,940,3-Sep-16
3-Sep-16,990,5-Sep-16
5-Sep-16,990,7-Sep-16
7-Sep-16,940,9-Sep-16
9-Sep-16,990,11-Sep-16
11-Sep-16,990,13-Sep-16
13-Sep-16,940,15-Sep-16
15-Sep-16,890,17-Sep-16
17-Sep-16,990,19-Sep-16
19-Sep-16,940,21-Sep-16
21-Sep-16,840,23-Sep-16
23-Sep-16,940,25-Sep-16
25-Sep-16,940,27-Sep-16
27-Sep-16,890,29-Sep-16
29-Sep-16,840,1-Oct-16
1-Oct-16,940,3-Oct-16
3-Oct-16,940,5-Oct-16
5-Oct-16,840,7-Oct-16
7-Oct-16,940,9-Oct-16
9-Oct-16,940,11-Oct-16
11-Oct-16,840,13-Oct-16
13-Oct-16,840,15-Oct-16
15-Oct-16,940,17-Oct-16
17-Oct-16,890,19-Oct-16
19-Oct-16,840,21-Oct-16
21-Oct-16,940,23-Oct-16
23-Oct-16,940,25-Oct-16
25-Oct-16,890,27-Oct-16
27-Oct-16,890,29-Oct-16
29-Oct-16,940,31-Oct-16
31-Oct-16,940,2-Nov-16
2-Nov-16,840,4-Nov-16
4-Nov-16,940,6-Nov-16
6-Nov-16,940,8-Nov-16
8-Nov-16,890,10-Nov-16
10-Nov-16,890,12-Nov-16
12-Nov-16,990,14-Nov-16
14-Nov-16,940,16-Nov-16
16-Nov-16,890,18-Nov-16
18-Nov-16,940,20-Nov-16
20-Nov-16,940,22-Nov-16
22-Nov-16,890,24-Nov-16
24-Nov-16,890,26-Nov-16
26-Nov-16,940,28-Nov-16
28-Nov-16,940,30-Nov-16
30-Nov-16,890,2-Dec-16
2-Dec-16,940,4-Dec-16
4-Dec-16,990,6-Dec-16
6-Dec-16,940,8-Dec-16
8-Dec-16,890,10-Dec-16
10-Dec-16,990,12-Dec-16
12-Dec-16,990,14-Dec-16
14-Dec-16,890,16-Dec-16
16-Dec-16,990,18-Dec-16
18-Dec-16,990,20-Dec-16
20-Dec-16,940,22-Dec-16
22-Dec-16,940,24-Dec-16
24-Dec-16,990,26-Dec-16
26-Dec-16,990,28-Dec-16
28-Dec-16,890,30-Dec-16
30-Dec-16,990,1-Jan-17
1-Jan-17,990,3-Jan-17
3-Jan-17,940,5-Jan-17
5-Jan-17,890,7-Jan-17
7-Jan-17,990,9-Jan-17
9-Jan-17,940,11-Jan-17
11-Jan-17,890,13-Jan-17
13-Jan-17,990,15-Jan-17
15-Jan-17,990,17-Jan-17
17-Jan-17,940,19-Jan-17
19-Jan-17,940,21-Jan-17
21-Jan-17,990,23-Jan-17
23-Jan-17,990,25-Jan-17
25-Jan-17,890,27-Jan-17
27-Jan-17,990,29-Jan-17
29-Jan-17,990,31-Jan-17
31-Jan-17,890,2-Feb-17
2-Feb-17,890,4-Feb-17
4-Feb-17,990,6-Feb-17
6-Feb-17,940,8-Feb-17
8-Feb-17,890,10-Feb-17
10-Feb-17,990,12-Feb-17
12-Feb-17,990,14-Feb-17
14-Feb-17,890,16-Feb-17
16-Feb-17,890,18-Feb-17
18-Feb-17,990,20-Feb-17
20-Feb-17,940,22-Feb-17
22-Feb-17,840,24-Feb-17
24-Feb-17,940,26-Feb-17
26-Feb-17,940,28-Feb-17
28-Feb-17,890,2-Mar-17
2-Mar-17,890,4-Mar-17
4-Mar-17,990,6-Mar-17
6-Mar-17,940,8-Mar-17
8-Mar-17,890,10-Mar-17
10-Mar-17,990,12-Mar-17
12-Mar-17,990,14-Mar-17
14-Mar-17,890,16-Mar-17
16-Mar-17,890,18-Mar-17
18-Mar-17,990,20-Mar-17
20-Mar-17,990,22-Mar-17
22-Mar-17,890,24-Mar-17
24-Mar-17,990,26-Mar-17
26-Mar-17,990,28-Mar-17
28-Mar-17,890,30-Mar-17
30-Mar-17,890,1-Apr-17
1-Apr-17,990,3-Apr-17
3-Apr-17,990,5-Apr-17
5-Apr-17,940,7-Apr-17
7-Apr-17,1040,9-Apr-17
9-Apr-17,1040,11-Apr-17
11-Apr-17,940,13-Apr-17
13-Apr-17,940,15-Apr-17
15-Apr-17,940,17-Apr-17
17-Apr-17,940,19-Apr-17
19-Apr-17,940,21-Apr-17
21-Apr-17,940,23-Apr-17
23-Apr-17,940,25-Apr-17
25-Apr-17,940,27-Apr-17
27-Apr-17,940,29-Apr-17
29-Apr-17,940,1-May-17
1-May-17,940,3-May-17
