Date,Sales
8-Aug-16,52
9-Aug-16,48
10-Aug-16,47
11-Aug-16,47
12-Aug-16,50
13-Aug-16,53
14-Aug-16,49
15-Aug-16,51
16-Aug-16,47
17-Aug-16,46
18-Aug-16,43
19-Aug-16,48
20-Aug-16,51
21-Aug-16,47
22-Aug-16,48
23-Aug-16,46
24-Aug-16,45
25-Aug-16,44
26-Aug-16,46
27-Aug-16,51
28-Aug-16,48
29-Aug-16,49
30-Aug-16,46
31-Aug-16,44
1-Sep-16,44
2-Sep-16,45
3-Sep-16,49
4-Sep-16,46
5-Sep-16,49
6-Sep-16,46
7-Sep-16,44
8-Sep-16,43
9-Sep-16,45
10-Sep-16,50
11-Sep-16,46
12-Sep-16,47
13-Sep-16,44
14-Sep-16,43
15-Sep-16,43
16-Sep-16,46
17-Sep-16,49
18-Sep-16,46
19-Sep-16,49
20-Sep-16,44
21-Sep-16,44
22-Sep-16,43
23-Sep-16,47
24-Sep-16,50
25-Sep-16,46
26-Sep-16,49
27-Sep-16,45
28-Sep-16,45
29-Sep-16,44
30-Sep-16,48
1-Oct-16,51
2-Oct-16,48
3-Oct-16,52
4-Oct-16,47
5-Oct-16,46
6-Oct-16,45
7-Oct-16,48
8-Oct-16,53
9-Oct-16,48
10-Oct-16,52
11-Oct-16,48
12-Oct-16,45
13-Oct-16,45
14-Oct-16,46
15-Oct-16,50
16-Oct-16,47
17-Oct-16,49
18-Oct-16,46
19-Oct-16,45
20-Oct-16,44
21-Oct-16,47
22-Oct-16,51
23-Oct-16,47
24-Oct-16,50
25-Oct-16,46
26-Oct-16,45
27-Oct-16,45
28-Oct-16,47
29-Oct-16,50
30-Oct-16,47
31-Oct-16,50
1-Nov-16,47
2-Nov-16,46
3-Nov-16,45
4-Nov-16,48
5-Nov-16,51
6-Nov-16,48
7-Nov-16,49
8-Nov-16,46
9-Nov-16,45
10-Nov-16,43
11-Nov-16,46
12-Nov-16,52
13-Nov-16,47
14-Nov-16,50
15-Nov-16,46
16-Nov-16,45
17-Nov-16,44
18-Nov-16,47
19-Nov-16,50
20-Nov-16,47
21-Nov-16,50
22-Nov-16,45
23-Nov-16,43
24-Nov-16,43
25-Nov-16,45
26-Nov-16,49
27-Nov-16,47
28-Nov-16,49
29-Nov-16,44
30-Nov-16,43
1-Dec-16,43
2-Dec-16,46
3-Dec-16,50
4-Dec-16,47
5-Dec-16,50
6-Dec-16,45
7-Dec-16,44
8-Dec-16,42
9-Dec-16,46
10-Dec-16,50
11-Dec-16,46
12-Dec-16,48
13-Dec-16,46
14-Dec-16,45
15-Dec-16,44
16-Dec-16,47
17-Dec-16,51
18-Dec-16,48
19-Dec-16,50
20-Dec-16,45
21-Dec-16,45
22-Dec-16,44
23-Dec-16,47
24-Dec-16,51
25-Dec-16,46
26-Dec-16,49
27-Dec-16,47
28-Dec-16,45
29-Dec-16,44
30-Dec-16,48
31-Dec-16,51
1-Jan-17,47
2-Jan-17,50
3-Jan-17,45
4-Jan-17,46
5-Jan-17,43
6-Jan-17,46
7-Jan-17,51
8-Jan-17,48
9-Jan-17,49
10-Jan-17,47
11-Jan-17,45
12-Jan-17,44
13-Jan-17,46
14-Jan-17,49
15-Jan-17,47
16-Jan-17,49
17-Jan-17,46
18-Jan-17,43
19-Jan-17,43
20-Jan-17,45
21-Jan-17,49
22-Jan-17,47
23-Jan-17,48
24-Jan-17,46
25-Jan-17,44
26-Jan-17,43
27-Jan-17,46
28-Jan-17,50
29-Jan-17,47
30-Jan-17,48
31-Jan-17,46
1-Feb-17,44
2-Feb-17,45
3-Feb-17,46
4-Feb-17,50
5-Feb-17,46
6-Feb-17,48
7-Feb-17,45
8-Feb-17,44
9-Feb-17,43
10-Feb-17,45
11-Feb-17,50
12-Feb-17,47
13-Feb-17,50
14-Feb-17,46
15-Feb-17,43
16-Feb-17,44
17-Feb-17,47
18-Feb-17,51
19-Feb-17,47
20-Feb-17,50
21-Feb-17,46
22-Feb-17,45
23-Feb-17,45
24-Feb-17,47
25-Feb-17,52
26-Feb-17,48
27-Feb-17,50
28-Feb-17,47
1-Mar-17,45
2-Mar-17,44
3-Mar-17,47
4-Mar-17,52
5-Mar-17,49
6-Mar-17,50
7-Mar-17,48
8-Mar-17,45
9-Mar-17,45
10-Mar-17,49
11-Mar-17,53
12-Mar-17,50
13-Mar-17,51
14-Mar-17,49
15-Mar-17,47
16-Mar-17,46
17-Mar-17,49
18-Mar-17,53
19-Mar-17,49
20-Mar-17,51
21-Mar-17,49
22-Mar-17,47
23-Mar-17,45
24-Mar-17,48
25-Mar-17,51
26-Mar-17,48
27-Mar-17,52
28-Mar-17,48
29-Mar-17,47
30-Mar-17,46
31-Mar-17,49
1-Apr-17,55
2-Apr-17,51
3-Apr-17,53
4-Apr-17,50
5-Apr-17,49
6-Apr-17,49
7-Apr-17,50
8-Apr-17,53
9-Apr-17,50
10-Apr-17,53
11-Apr-17,49
12-Apr-17,47
13-Apr-17,47
14-Apr-17,50
