Date,Sales
8-Aug-16,105
9-Aug-16,97
10-Aug-16,95
11-Aug-16,92
12-Aug-16,99
13-Aug-16,107
14-Aug-16,99
15-Aug-16,104
16-Aug-16,98
17-Aug-16,95
18-Aug-16,92
19-Aug-16,99
20-Aug-16,106
21-Aug-16,99
22-Aug-16,106
23-Aug-16,100
24-Aug-16,95
25-Aug-16,95
26-Aug-16,101
27-Aug-16,110
28-Aug-16,103
29-Aug-16,107
30-Aug-16,102
31-Aug-16,99
1-Sep-16,96
2-Sep-16,103
3-Sep-16,114
4-Sep-16,105
5-Sep-16,110
6-Sep-16,102
7-Sep-16,100
8-Sep-16,97
9-Sep-16,105
10-Sep-16,114
11-Sep-16,108
12-Sep-16,112
13-Sep-16,106
14-Sep-16,103
15-Sep-16,101
16-Sep-16,107
17-Sep-16,118
18-Sep-16,111
19-Sep-16,117
20-Sep-16,107
21-Sep-16,105
22-Sep-16,104
23-Sep-16,110
24-Sep-16,120
25-Sep-16,113
26-Sep-16,120
27-Sep-16,111
28-Sep-16,110
29-Sep-16,105
30-Sep-16,112
1-Oct-16,124
2-Oct-16,116
3-Oct-16,122
4-Oct-16,115
5-Oct-16,112
6-Oct-16,108
7-Oct-16,116
8-Oct-16,126
9-Oct-16,119
10-Oct-16,125
11-Oct-16,118
12-Oct-16,113
13-Oct-16,111
14-Oct-16,118
15-Oct-16,130
16-Oct-16,119
17-Oct-16,127
18-Oct-16,119
19-Oct-16,115
20-Oct-16,115
21-Oct-16,122
22-Oct-16,131
23-Oct-16,121
24-Oct-16,127
25-Oct-16,119
26-Oct-16,115
27-Oct-16,110
28-Oct-16,119
29-Oct-16,130
30-Oct-16,121
31-Oct-16,127
1-Nov-16,118
2-Nov-16,116
3-Nov-16,113
4-Nov-16,119
5-Nov-16,131
6-Nov-16,123
7-Nov-16,129
8-Nov-16,120
9-Nov-16,119
10-Nov-16,118
11-Nov-16,127
12-Nov-16,138
13-Nov-16,129
14-Nov-16,133
15-Nov-16,126
16-Nov-16,122
17-Nov-16,120
18-Nov-16,126
19-Nov-16,136
20-Nov-16,128
21-Nov-16,134
22-Nov-16,124
23-Nov-16,119
24-Nov-16,118
25-Nov-16,125
26-Nov-16,137
27-Nov-16,127
28-Nov-16,134
29-Nov-16,125
30-Nov-16,123
1-Dec-16,122
2-Dec-16,128
3-Dec-16,141
4-Dec-16,130
5-Dec-16,137
6-Dec-16,128
7-Dec-16,125
8-Dec-16,121
9-Dec-16,128
10-Dec-16,141
11-Dec-16,133
12-Dec-16,141
13-Dec-16,133
14-Dec-16,127
15-Dec-16,124
16-Dec-16,132
17-Dec-16,142
18-Dec-16,134
19-Dec-16,142
20-Dec-16,133
21-Dec-16,129
22-Dec-16,127
23-Dec-16,133
24-Dec-16,144
25-Dec-16,134
26-Dec-16,144
27-Dec-16,132
28-Dec-16,130
29-Dec-16,126
30-Dec-16,135
31-Dec-16,146
1-Jan-17,134
2-Jan-17,144
3-Jan-17,133
4-Jan-17,132
5-Jan-17,129
6-Jan-17,137
7-Jan-17,150
8-Jan-17,139
9-Jan-17,148
10-Jan-17,137
11-Jan-17,137
12-Jan-17,134
13-Jan-17,141
14-Jan-17,153
15-Jan-17,142
16-Jan-17,152
17-Jan-17,141
18-Jan-17,138
19-Jan-17,135
20-Jan-17,144
21-Jan-17,156
22-Jan-17,147
23-Jan-17,153
24-Jan-17,143
25-Jan-17,141
26-Jan-17,140
27-Jan-17,147
28-Jan-17,162
29-Jan-17,150
30-Jan-17,157
31-Jan-17,146
1-Feb-17,141
2-Feb-17,137
3-Feb-17,147
4-Feb-17,159
5-Feb-17,152
6-Feb-17,158
7-Feb-17,146
8-Feb-17,143
9-Feb-17,139
10-Feb-17,150
11-Feb-17,160
12-Feb-17,150
13-Feb-17,159
14-Feb-17,146
15-Feb-17,143
16-Feb-17,140
17-Feb-17,149
18-Feb-17,163
19-Feb-17,152
20-Feb-17,157
21-Feb-17,146
22-Feb-17,144
23-Feb-17,140
24-Feb-17,147
25-Feb-17,164
26-Feb-17,150
27-Feb-17,156
28-Feb-17,147
1-Mar-17,139
2-Mar-17,136
3-Mar-17,145
4-Mar-17,158
5-Mar-17,147
6-Mar-17,153
7-Mar-17,144
8-Mar-17,142
9-Mar-17,138
10-Mar-17,147
11-Mar-17,161
12-Mar-17,152
13-Mar-17,158
14-Mar-17,148
15-Mar-17,143
16-Mar-17,142
17-Mar-17,151
18-Mar-17,163
19-Mar-17,151
20-Mar-17,161
21-Mar-17,150
22-Mar-17,145
23-Mar-17,143
24-Mar-17,152
25-Mar-17,165
26-Mar-17,152
27-Mar-17,160
28-Mar-17,148
29-Mar-17,144
30-Mar-17,143
31-Mar-17,151
1-Apr-17,166
2-Apr-17,155
3-Apr-17,165
4-Apr-17,152
5-Apr-17,148
6-Apr-17,144
7-Apr-17,154
8-Apr-17,168
9-Apr-17,157
10-Apr-17,164
11-Apr-17,154
12-Apr-17,148
13-Apr-17,143
14-Apr-17,152
